"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","org.signal.signing","F:\REZA IMPORTANT\Reza\Study Material\UTEP\RA\Software Repositories\10 Signal Android\Signal-Android-2019-1\Signal-Android-1c3052a580f8d40f235f0e3d2da9c4cda2f3860e\buildSrc\src\main\java\org\signal\signing\ApkSignerUtil.java","3","77","Potential violation of Law of Demeter (method chain calls)","Design","LawOfDemeter"
"2","org.signal.signing","F:\REZA IMPORTANT\Reza\Study Material\UTEP\RA\Software Repositories\10 Signal Android\Signal-Android-2019-1\Signal-Android-1c3052a580f8d40f235f0e3d2da9c4cda2f3860e\buildSrc\src\main\java\org\signal\signing\ApkSignerUtil.java","3","77","Potential violation of Law of Demeter (object not created locally)","Design","LawOfDemeter"
"3","org.signal.signing","F:\REZA IMPORTANT\Reza\Study Material\UTEP\RA\Software Repositories\10 Signal Android\Signal-Android-2019-1\Signal-Android-1c3052a580f8d40f235f0e3d2da9c4cda2f3860e\buildSrc\src\main\java\org\signal\signing\ApkSignerUtil.java","3","79","Potential violation of Law of Demeter (method chain calls)","Design","LawOfDemeter"
"4","org.signal.signing","F:\REZA IMPORTANT\Reza\Study Material\UTEP\RA\Software Repositories\10 Signal Android\Signal-Android-2019-1\Signal-Android-1c3052a580f8d40f235f0e3d2da9c4cda2f3860e\buildSrc\src\main\java\org\signal\signing\ApkSignerUtil.java","3","79","Potential violation of Law of Demeter (object not created locally)","Design","LawOfDemeter"
"5","org.signal.signing","F:\REZA IMPORTANT\Reza\Study Material\UTEP\RA\Software Repositories\10 Signal Android\Signal-Android-2019-1\Signal-Android-1c3052a580f8d40f235f0e3d2da9c4cda2f3860e\buildSrc\src\main\java\org\signal\signing\ApkSignerUtil.java","3","88","The method 'loadKeyStore(String, String)' has a cyclomatic complexity of 11.","Design","CyclomaticComplexity"
"6","org.signal.signing","F:\REZA IMPORTANT\Reza\Study Material\UTEP\RA\Software Repositories\10 Signal Android\Signal-Android-2019-1\Signal-Android-1c3052a580f8d40f235f0e3d2da9c4cda2f3860e\buildSrc\src\main\java\org\signal\signing\ApkSignerUtil.java","3","91","Potential violation of Law of Demeter (object not created locally)","Design","LawOfDemeter"
"7","org.signal.signing","F:\REZA IMPORTANT\Reza\Study Material\UTEP\RA\Software Repositories\10 Signal Android\Signal-Android-2019-1\Signal-Android-1c3052a580f8d40f235f0e3d2da9c4cda2f3860e\buildSrc\src\main\java\org\signal\signing\ApkSignerUtil.java","3","93","Potential violation of Law of Demeter (object not created locally)","Design","LawOfDemeter"
"8","org.signal.signing","F:\REZA IMPORTANT\Reza\Study Material\UTEP\RA\Software Repositories\10 Signal Android\Signal-Android-2019-1\Signal-Android-1c3052a580f8d40f235f0e3d2da9c4cda2f3860e\buildSrc\src\main\java\org\signal\signing\ApkSignerUtil.java","3","96","Potential violation of Law of Demeter (object not created locally)","Design","LawOfDemeter"
"9","org.signal.signing","F:\REZA IMPORTANT\Reza\Study Material\UTEP\RA\Software Repositories\10 Signal Android\Signal-Android-2019-1\Signal-Android-1c3052a580f8d40f235f0e3d2da9c4cda2f3860e\buildSrc\src\main\java\org\signal\signing\ApkSignerUtil.java","3","108","Potential violation of Law of Demeter (object not created locally)","Design","LawOfDemeter"
"10","org.signal.signing","F:\REZA IMPORTANT\Reza\Study Material\UTEP\RA\Software Repositories\10 Signal Android\Signal-Android-2019-1\Signal-Android-1c3052a580f8d40f235f0e3d2da9c4cda2f3860e\buildSrc\src\main\java\org\signal\signing\ApkSignerUtil.java","3","109","Potential violation of Law of Demeter (object not created locally)","Design","LawOfDemeter"
