"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","org.apache.kafka.clients","F:\REZA IMPORTANT\Reza\Study Material\UTEP\RA\Software Repositories\3 Apache Kafka\kafka-2016-1\kafka-b905d489188768ba1c55226857db9713b9272918\clients\src\main\java\org\apache\kafka\clients\ClientRequest.java","3","20","The class 'ClientRequest' is suspected to be a Data Class (WOC=27.273%, NOPA=0, NOAM=6, WMC=12)","Design","DataClass"
"1","org.apache.kafka.clients","F:\REZA IMPORTANT\Reza\Study Material\UTEP\RA\Software Repositories\3 Apache Kafka\kafka-2016-1\kafka-b905d489188768ba1c55226857db9713b9272918\clients\src\main\java\org\apache\kafka\clients\ClientUtils.java","3","35","All methods are static.  Consider using a utility class instead. Alternatively, you could add a private constructor or make the class abstract to silence this warning.","Design","UseUtilityClass"
"2","org.apache.kafka.clients","F:\REZA IMPORTANT\Reza\Study Material\UTEP\RA\Software Repositories\3 Apache Kafka\kafka-2016-1\kafka-b905d489188768ba1c55226857db9713b9272918\clients\src\main\java\org\apache\kafka\clients\ClientUtils.java","3","38","The method 'parseAndValidateAddresses(List)' has a cognitive complexity of 15, current threshold is 15","Design","CognitiveComplexity"
"3","org.apache.kafka.clients","F:\REZA IMPORTANT\Reza\Study Material\UTEP\RA\Software Repositories\3 Apache Kafka\kafka-2016-1\kafka-b905d489188768ba1c55226857db9713b9272918\clients\src\main\java\org\apache\kafka\clients\ClientUtils.java","3","38","The method 'parseAndValidateAddresses(List)' has a cyclomatic complexity of 13.","Design","CyclomaticComplexity"
"1","org.apache.kafka.clients","F:\REZA IMPORTANT\Reza\Study Material\UTEP\RA\Software Repositories\3 Apache Kafka\kafka-2016-1\kafka-b905d489188768ba1c55226857db9713b9272918\clients\src\main\java\org\apache\kafka\clients\ClusterConnectionStates.java","3","143","Potential violation of Law of Demeter (method chain calls)","Design","LawOfDemeter"
"1","org.apache.kafka.clients","F:\REZA IMPORTANT\Reza\Study Material\UTEP\RA\Software Repositories\3 Apache Kafka\kafka-2016-1\kafka-b905d489188768ba1c55226857db9713b9272918\clients\src\main\java\org\apache\kafka\clients\InFlightRequests.java","3","39","Potential violation of Law of Demeter (method chain calls)","Design","LawOfDemeter"
"2","org.apache.kafka.clients","F:\REZA IMPORTANT\Reza\Study Material\UTEP\RA\Software Repositories\3 Apache Kafka\kafka-2016-1\kafka-b905d489188768ba1c55226857db9713b9272918\clients\src\main\java\org\apache\kafka\clients\InFlightRequests.java","3","42","Potential violation of Law of Demeter (method chain calls)","Design","LawOfDemeter"
"3","org.apache.kafka.clients","F:\REZA IMPORTANT\Reza\Study Material\UTEP\RA\Software Repositories\3 Apache Kafka\kafka-2016-1\kafka-b905d489188768ba1c55226857db9713b9272918\clients\src\main\java\org\apache\kafka\clients\InFlightRequests.java","3","52","Potential violation of Law of Demeter (object not created locally)","Design","LawOfDemeter"
"4","org.apache.kafka.clients","F:\REZA IMPORTANT\Reza\Study Material\UTEP\RA\Software Repositories\3 Apache Kafka\kafka-2016-1\kafka-b905d489188768ba1c55226857db9713b9272918\clients\src\main\java\org\apache\kafka\clients\InFlightRequests.java","3","61","Potential violation of Law of Demeter (method chain calls)","Design","LawOfDemeter"
"5","org.apache.kafka.clients","F:\REZA IMPORTANT\Reza\Study Material\UTEP\RA\Software Repositories\3 Apache Kafka\kafka-2016-1\kafka-b905d489188768ba1c55226857db9713b9272918\clients\src\main\java\org\apache\kafka\clients\InFlightRequests.java","3","69","Potential violation of Law of Demeter (method chain calls)","Design","LawOfDemeter"
