"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","","F:\REZA IMPORTANT\Reza\Study Material\UTEP\RA\Software Repositories\5 dropwizard\dropwizard-2020-1\dropwizard-1ae6ea6a62329d3715fa62d3f85b620178f8da9b\.mvn\wrapper\MavenWrapperDownloader.java","3","25","All methods are static.  Consider using a utility class instead. Alternatively, you could add a private constructor or make the class abstract to silence this warning.","Design","UseUtilityClass"
"2","","F:\REZA IMPORTANT\Reza\Study Material\UTEP\RA\Software Repositories\5 dropwizard\dropwizard-2020-1\dropwizard-1ae6ea6a62329d3715fa62d3f85b620178f8da9b\.mvn\wrapper\MavenWrapperDownloader.java","3","82","Potential violation of Law of Demeter (method chain calls)","Design","LawOfDemeter"
"3","","F:\REZA IMPORTANT\Reza\Study Material\UTEP\RA\Software Repositories\5 dropwizard\dropwizard-2020-1\dropwizard-1ae6ea6a62329d3715fa62d3f85b620178f8da9b\.mvn\wrapper\MavenWrapperDownloader.java","3","83","Potential violation of Law of Demeter (method chain calls)","Design","LawOfDemeter"
"4","","F:\REZA IMPORTANT\Reza\Study Material\UTEP\RA\Software Repositories\5 dropwizard\dropwizard-2020-1\dropwizard-1ae6ea6a62329d3715fa62d3f85b620178f8da9b\.mvn\wrapper\MavenWrapperDownloader.java","3","83","These nested if statements could be combined","Design","CollapsibleIfStatements"
"5","","F:\REZA IMPORTANT\Reza\Study Material\UTEP\RA\Software Repositories\5 dropwizard\dropwizard-2020-1\dropwizard-1ae6ea6a62329d3715fa62d3f85b620178f8da9b\.mvn\wrapper\MavenWrapperDownloader.java","3","85","Potential violation of Law of Demeter (method chain calls)","Design","LawOfDemeter"
"6","","F:\REZA IMPORTANT\Reza\Study Material\UTEP\RA\Software Repositories\5 dropwizard\dropwizard-2020-1\dropwizard-1ae6ea6a62329d3715fa62d3f85b620178f8da9b\.mvn\wrapper\MavenWrapperDownloader.java","3","100","A method/constructor should not explicitly throw java.lang.Exception","Design","SignatureDeclareThrowsException"
"7","","F:\REZA IMPORTANT\Reza\Study Material\UTEP\RA\Software Repositories\5 dropwizard\dropwizard-2020-1\dropwizard-1ae6ea6a62329d3715fa62d3f85b620178f8da9b\.mvn\wrapper\MavenWrapperDownloader.java","3","105","Potential violation of Law of Demeter (method chain calls)","Design","LawOfDemeter"
"8","","F:\REZA IMPORTANT\Reza\Study Material\UTEP\RA\Software Repositories\5 dropwizard\dropwizard-2020-1\dropwizard-1ae6ea6a62329d3715fa62d3f85b620178f8da9b\.mvn\wrapper\MavenWrapperDownloader.java","3","107","Potential violation of Law of Demeter (object not created locally)","Design","LawOfDemeter"
"1","io.dropwizard.assets","F:\REZA IMPORTANT\Reza\Study Material\UTEP\RA\Software Repositories\5 dropwizard\dropwizard-2020-1\dropwizard-1ae6ea6a62329d3715fa62d3f85b620178f8da9b\dropwizard-assets\src\main\java\io\dropwizard\assets\AssetsBundle.java","3","109","Potential violation of Law of Demeter (method chain calls)","Design","LawOfDemeter"
"2","io.dropwizard.assets","F:\REZA IMPORTANT\Reza\Study Material\UTEP\RA\Software Repositories\5 dropwizard\dropwizard-2020-1\dropwizard-1ae6ea6a62329d3715fa62d3f85b620178f8da9b\dropwizard-assets\src\main\java\io\dropwizard\assets\AssetsBundle.java","3","109","Potential violation of Law of Demeter (method chain calls)","Design","LawOfDemeter"
