"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.google.checkstyle.test.base","F:\REZA IMPORTANT\Reza\Study Material\UTEP\RA\Software Repositories\6. Checkstyle\checkstyle-2019-1\checkstyle-a262bad94bb4aa5786a2c47582021dc1189208ec\src\it\java\com\google\checkstyle\test\base\AbstractIndentationTestSupport.java","3","63","The method 'getLinesWithWarnAndCheckComments(String, int)' has a cyclomatic complexity of 10.","Design","CyclomaticComplexity"
"2","com.google.checkstyle.test.base","F:\REZA IMPORTANT\Reza\Study Material\UTEP\RA\Software Repositories\6. Checkstyle\checkstyle-2019-1\checkstyle-a262bad94bb4aa5786a2c47582021dc1189208ec\src\it\java\com\google\checkstyle\test\base\AbstractIndentationTestSupport.java","3","72","Potential violation of Law of Demeter (object not created locally)","Design","LawOfDemeter"
"3","com.google.checkstyle.test.base","F:\REZA IMPORTANT\Reza\Study Material\UTEP\RA\Software Repositories\6. Checkstyle\checkstyle-2019-1\checkstyle-a262bad94bb4aa5786a2c47582021dc1189208ec\src\it\java\com\google\checkstyle\test\base\AbstractIndentationTestSupport.java","3","73","Potential violation of Law of Demeter (object not created locally)","Design","LawOfDemeter"
"4","com.google.checkstyle.test.base","F:\REZA IMPORTANT\Reza\Study Material\UTEP\RA\Software Repositories\6. Checkstyle\checkstyle-2019-1\checkstyle-a262bad94bb4aa5786a2c47582021dc1189208ec\src\it\java\com\google\checkstyle\test\base\AbstractIndentationTestSupport.java","3","98","Potential violation of Law of Demeter (method chain calls)","Design","LawOfDemeter"
"5","com.google.checkstyle.test.base","F:\REZA IMPORTANT\Reza\Study Material\UTEP\RA\Software Repositories\6. Checkstyle\checkstyle-2019-1\checkstyle-a262bad94bb4aa5786a2c47582021dc1189208ec\src\it\java\com\google\checkstyle\test\base\AbstractIndentationTestSupport.java","3","114","Potential violation of Law of Demeter (object not created locally)","Design","LawOfDemeter"
"6","com.google.checkstyle.test.base","F:\REZA IMPORTANT\Reza\Study Material\UTEP\RA\Software Repositories\6. Checkstyle\checkstyle-2019-1\checkstyle-a262bad94bb4aa5786a2c47582021dc1189208ec\src\it\java\com\google\checkstyle\test\base\AbstractIndentationTestSupport.java","3","115","Potential violation of Law of Demeter (object not created locally)","Design","LawOfDemeter"
"7","com.google.checkstyle.test.base","F:\REZA IMPORTANT\Reza\Study Material\UTEP\RA\Software Repositories\6. Checkstyle\checkstyle-2019-1\checkstyle-a262bad94bb4aa5786a2c47582021dc1189208ec\src\it\java\com\google\checkstyle\test\base\AbstractIndentationTestSupport.java","3","153","Potential violation of Law of Demeter (object not created locally)","Design","LawOfDemeter"
"8","com.google.checkstyle.test.base","F:\REZA IMPORTANT\Reza\Study Material\UTEP\RA\Software Repositories\6. Checkstyle\checkstyle-2019-1\checkstyle-a262bad94bb4aa5786a2c47582021dc1189208ec\src\it\java\com\google\checkstyle\test\base\AbstractIndentationTestSupport.java","3","154","Potential violation of Law of Demeter (object not created locally)","Design","LawOfDemeter"
"9","com.google.checkstyle.test.base","F:\REZA IMPORTANT\Reza\Study Material\UTEP\RA\Software Repositories\6. Checkstyle\checkstyle-2019-1\checkstyle-a262bad94bb4aa5786a2c47582021dc1189208ec\src\it\java\com\google\checkstyle\test\base\AbstractIndentationTestSupport.java","3","163","Potential violation of Law of Demeter (object not created locally)","Design","LawOfDemeter"
"10","com.google.checkstyle.test.base","F:\REZA IMPORTANT\Reza\Study Material\UTEP\RA\Software Repositories\6. Checkstyle\checkstyle-2019-1\checkstyle-a262bad94bb4aa5786a2c47582021dc1189208ec\src\it\java\com\google\checkstyle\test\base\AbstractIndentationTestSupport.java","3","164","Potential violation of Law of Demeter (object not created locally)","Design","LawOfDemeter"
"11","com.google.checkstyle.test.base","F:\REZA IMPORTANT\Reza\Study Material\UTEP\RA\Software Repositories\6. Checkstyle\checkstyle-2019-1\checkstyle-a262bad94bb4aa5786a2c47582021dc1189208ec\src\it\java\com\google\checkstyle\test\base\AbstractIndentationTestSupport.java","3","173","Potential violation of Law of Demeter (object not created locally)","Design","LawOfDemeter"
