"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.ai.cloud.skywalking.example.account.dao.mapper.bo","F:\REZA IMPORTANT\Reza\Study Material\UTEP\RA\Software Repositories\9. Skywalking\skywalking-2016-1\skywalking-c1a90c9b7f26cce27e6fa13ecf055dd78eff1163\samples\skywalking-example\account-application\account-impl\src\main\java\com\ai\cloud\skywalking\example\account\dao\mapper\bo\TAccount.java","3","3","The class 'TAccount' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=6, WMC=8)","Design","DataClass"
"1","com.ai.cloud.skywalking.example.account.dao.mapper.bo","F:\REZA IMPORTANT\Reza\Study Material\UTEP\RA\Software Repositories\9. Skywalking\skywalking-2016-1\skywalking-c1a90c9b7f26cce27e6fa13ecf055dd78eff1163\samples\skywalking-example\account-application\account-impl\src\main\java\com\ai\cloud\skywalking\example\account\dao\mapper\bo\TAccountCriteria.java","3","1","This class has a bunch of public methods and attributes","Design","ExcessivePublicCount"
"2","com.ai.cloud.skywalking.example.account.dao.mapper.bo","F:\REZA IMPORTANT\Reza\Study Material\UTEP\RA\Software Repositories\9. Skywalking\skywalking-2016-1\skywalking-c1a90c9b7f26cce27e6fa13ecf055dd78eff1163\samples\skywalking-example\account-application\account-impl\src\main\java\com\ai\cloud\skywalking\example\account\dao\mapper\bo\TAccountCriteria.java","3","6","The class 'TAccountCriteria' is suspected to be a Data Class (WOC=28.571%, NOPA=0, NOAM=9, WMC=16)","Design","DataClass"
"3","com.ai.cloud.skywalking.example.account.dao.mapper.bo","F:\REZA IMPORTANT\Reza\Study Material\UTEP\RA\Software Repositories\9. Skywalking\skywalking-2016-1\skywalking-c1a90c9b7f26cce27e6fa13ecf055dd78eff1163\samples\skywalking-example\account-application\account-impl\src\main\java\com\ai\cloud\skywalking\example\account\dao\mapper\bo\TAccountCriteria.java","3","86","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"4","com.ai.cloud.skywalking.example.account.dao.mapper.bo","F:\REZA IMPORTANT\Reza\Study Material\UTEP\RA\Software Repositories\9. Skywalking\skywalking-2016-1\skywalking-c1a90c9b7f26cce27e6fa13ecf055dd78eff1163\samples\skywalking-example\account-application\account-impl\src\main\java\com\ai\cloud\skywalking\example\account\dao\mapper\bo\TAccountCriteria.java","1","108","Avoid throwing raw exception types.","Design","AvoidThrowingRawExceptionTypes"
"5","com.ai.cloud.skywalking.example.account.dao.mapper.bo","F:\REZA IMPORTANT\Reza\Study Material\UTEP\RA\Software Repositories\9. Skywalking\skywalking-2016-1\skywalking-c1a90c9b7f26cce27e6fa13ecf055dd78eff1163\samples\skywalking-example\account-application\account-impl\src\main\java\com\ai\cloud\skywalking\example\account\dao\mapper\bo\TAccountCriteria.java","1","115","Avoid throwing raw exception types.","Design","AvoidThrowingRawExceptionTypes"
"6","com.ai.cloud.skywalking.example.account.dao.mapper.bo","F:\REZA IMPORTANT\Reza\Study Material\UTEP\RA\Software Repositories\9. Skywalking\skywalking-2016-1\skywalking-c1a90c9b7f26cce27e6fa13ecf055dd78eff1163\samples\skywalking-example\account-application\account-impl\src\main\java\com\ai\cloud\skywalking\example\account\dao\mapper\bo\TAccountCriteria.java","1","122","Avoid throwing raw exception types.","Design","AvoidThrowingRawExceptionTypes"
"7","com.ai.cloud.skywalking.example.account.dao.mapper.bo","F:\REZA IMPORTANT\Reza\Study Material\UTEP\RA\Software Repositories\9. Skywalking\skywalking-2016-1\skywalking-c1a90c9b7f26cce27e6fa13ecf055dd78eff1163\samples\skywalking-example\account-application\account-impl\src\main\java\com\ai\cloud\skywalking\example\account\dao\mapper\bo\TAccountCriteria.java","3","335","The class 'Criterion' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=8, WMC=14)","Design","DataClass"
"1","com.ai.cloud.skywalking.example.account.dao.mapper.interfaces","F:\REZA IMPORTANT\Reza\Study Material\UTEP\RA\Software Repositories\9. Skywalking\skywalking-2016-1\skywalking-c1a90c9b7f26cce27e6fa13ecf055dd78eff1163\samples\skywalking-example\account-application\account-impl\src\main\java\com\ai\cloud\skywalking\example\account\dao\mapper\interfaces\TAccountMapper.java","3","8","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.ai.cloud.skywalking.example.account.dubbo.impl","F:\REZA IMPORTANT\Reza\Study Material\UTEP\RA\Software Repositories\9. Skywalking\skywalking-2016-1\skywalking-c1a90c9b7f26cce27e6fa13ecf055dd78eff1163\samples\skywalking-example\account-application\account-impl\src\main\java\com\ai\cloud\skywalking\example\account\dubbo\impl\AccountMaintainImpl.java","3","46","Potential violation of Law of Demeter (object not created locally)","Design","LawOfDemeter"
