"#","No","Issue Title","Issue Details","State","Labels","User name","created","Updated"
"","1232","4.0.x","我需要源码","closed","","lianyiwuming","2016-11-08T08:10:53Z","2016-11-08T08:19:59Z"
"","1197","SPR-14779: providing type-safe static methods like Collections.emptyLi…","…st() to Comparators.","closed","","hakamairi","2016-10-05T21:14:40Z","2017-02-15T19:51:49Z"
"","1138","Improve performance of assertion in StompSubProtocolHandler.convertCo…","…nnectAcktoStompConnected()  Closes SPR-14624","closed","","dreis2211","2016-08-24T17:50:20Z","2016-08-24T18:05:52Z"
"","1086","4.2.x","xx","closed","","Harries","2016-06-20T08:35:06Z","2016-06-20T08:37:45Z"
"","1123","Refactor AbstractResponseBodyFlushProcessor states","With the current state machine - the implementation can hang after the last element when executing   on Jetty. - in some cases there will be no flush after the last   Publisher.","closed","","violetagg","2016-07-27T14:49:04Z","2016-07-27T17:10:21Z"
"","1054","Add MediaType IMAGE_SVG","When you do a Web Service to Expose a svg (example: web service expose flags of the world)  in my RestControler I use this syntax: @RequestMapping(value = ""/{country}"", method = RequestMethod.GET, produces = MediaType.IMAGE_SVG_VALUE)   instead of  @RequestMapping(value = ""/{country}"", method = RequestMethod.GET, produces = ""image/svg+xml"")  is more smart :)","closed","","sgrillon14","2016-05-10T21:22:52Z","2018-05-03T09:18:03Z"
"","1124","Add a bean aware CacheManager.","When trying to select a SSMCache based on a spring.active.profile the CacheManager was unable to select the correct cache based on the dynamic nature of the lookup. This CacheManager offers a sufficient level of abstraction and a standardised way of dynamically selecting a cache.  New cache manager that resolves the cache name against the Cache type beans registered in the application context.  Issue: SPR-14519","closed","","phillescott","2016-07-28T06:06:00Z","2016-07-29T04:27:56Z"
"","1087","Is there a better way to solve this problem？","When I call ""request.getParameter"" in the javax.servlet.Filter, request will be parsed into ""parts"" field.After then,the request reaches ""org.springframework.web.multipart.commons.CommonsMultipartResolver.parseRequest"" and will be parsed again,but it can not get any request parameter values. The method in my controller is ""public String saveImage(@RequestParam(""imageFile"") MultipartFile file, @RequestParam Integer userId)"". The logic in my filter proceed as follows. [code] public void doFilter(ServletRequest request, ServletResponse response, FilterChain filterChain) throws IOException, ServletException {     Integer userId = request.getParameter(""userId"")     if (isauthorized(userId)) {         filterChain.doFilter(request, response);         return;     }     ((HttpServletResponse) response).sendError(HttpServletResponse.SC_FORBIDDEN); } [/code] I solved this problem temporarily by change ""CommonsMultipartResolver.parseRequest"",but it is not rigorous.Is there a better way to solve this problem？ Thanks.","closed","","hxy1991","2016-06-20T12:14:10Z","2016-06-20T13:19:00Z"
"","1091","Fixed #DATAREDIS-527 Added ErrorHandler to the AspectjCachingConfiguration","When enabling caching on aspectj mode, custom error handler was not getting inject. Fix is to set errorHandler on AspectJCachingConfiguration","closed","","jayarampradhan","2016-06-25T16:48:18Z","2016-06-29T07:23:03Z"
"","1192","SPR-14597: Fix CachingResourceResolver's handling of same path with different locations","When calling `CachingResourceResolver#resolveUrlPathInternal` with the same `resourceUrlPath` param but different list of search locations, the same cache key will be assigned to both resources.  This effectively breaks Spring's `VersionResourceResolver`. Considering two calls for the same `ressourceUrlPath` 'sprite.png', with the following locations: - First call: class path resource [static/alpha/style.css] - Second call: class path resource [static/beta/style.css]  The first call will resolve to the alpha 'sprite.png' ('sprite-1cf43f6ba5cbc71b4b2d040f2a358f3e.png') and cache this value under a key that only depends on 'sprite.png'.  The second call will use the cached value and thus won't resolve to the beta 'sprite.png' file.  This commit changes the way the cache keys are generated. Cache keys now depends of both the `ressourceUrlPath` and the `locations` parameters.  Issue: [SPR-14597](https://jira.spring.io/browse/SPR-14597)  Note: I have signed Pivotal Contributor License Agreement.","closed","","heffebaycay","2016-10-02T19:15:13Z","2016-10-11T14:06:09Z"
"","1150","Update import-into-idea.md","Update tutorial for import and build project in IntelliJ IDEA 2016.2.2. Steps are outdated and existing issues is not applicable in new versions.","closed","","neetkee","2016-08-30T10:46:24Z","2016-09-02T13:06:13Z"
"","1133","Support RootBeanDefinition targetResolvableType","Update RootBeanDefinition and GenericTypeAwareAutowireCandidateResolver to support target ResolvableTypes. This allows a bean definition to be registered programmatically with support for generics based injection.  Issue: SPR-14580","closed","","philwebb","2016-08-13T17:48:43Z","2016-08-17T14:51:12Z"
"","1272","Merge pull request #1 from spring-projects/master","update from origin","closed","","zhaoshengxuan108","2016-12-15T09:35:34Z","2016-12-15T09:46:05Z"
"","1271","Merge pull request #1 from spring-projects/master","update from origin","closed","","zhaoshengxuan108","2016-12-15T09:21:34Z","2016-12-15T09:26:55Z"
"","1120","update","update","closed","","ehlxr","2016-07-24T09:29:36Z","2016-07-26T10:09:00Z"
"","1228","Update reactive tests according to latest reactor-test changes","To be merged in master when https://github.com/reactor/reactor-addons/pull/31 will be merged.  These changes discussed in detail this afternoon with @smaldini provide many improvements:  - Generics are finally automatically resolved  - The new `create(Publisher)` is consistent with the new `create(Supplier>)` added by Stéphane for the time based assertions  - Shorter name very handy to use with indentation Verifier (same length than 2 tabs or 8 characters)","closed","","sdeleuze","2016-11-01T17:06:08Z","2021-04-28T09:58:50Z"
"","1220","SPR-14830: Support ResponseStatus on reactive controllers","To be discussed with @rstoyanchev and @sdeleuze","closed","","bclozel","2016-10-24T07:57:25Z","2016-11-03T12:28:31Z"
"","1238","Router without generics","To be discussed ...","closed","","sdeleuze","2016-11-16T13:57:15Z","2021-04-28T09:58:51Z"
