"#","No","Issue Title","Issue Details","State","Labels","User name","created","Updated"
"","27185","Gushizhao","第一次提交，修改配置添加阿里云镜像","closed","status: invalid,","z18538613285","2021-07-16T15:04:58Z","2021-07-16T20:28:26Z"
"","27539","Merge pull request #1 from spring-projects/master","更新代码","closed","status: invalid,","tangwan","2021-10-09T13:47:59Z","2021-10-10T12:11:07Z"
"","27471","5.3.x","更新","closed","","Jervis-Miao","2021-09-26T15:29:06Z","2021-09-26T15:29:58Z"
"","27470","5.3.x","更新","closed","","Jervis-Miao","2021-09-26T15:23:58Z","2021-09-26T15:25:53Z"
"","27472","5.3.x","同步更新","closed","","Jervis-Miao","2021-09-26T15:40:39Z","2021-09-26T15:41:04Z"
"","27293","Code note","合并原项目代码","closed","status: invalid,","mengxiaoZzz","2021-08-19T06:43:14Z","2021-08-19T06:57:04Z"
"","26912","Provide option to switch threads for WebFlux controller methods","…e running in Elastic thread pool.  In WebFlux, we should support asynchronous and synchronous both.  if the controller method's return type is Mono/Flux/Future/CompleteableFuture, we should runnint this controller in synchronous(IO) thread, but if they just not want running in Asychronous Mode, they may invoke database or something else (IO operation), they just not return Mono/Flux type, and we throw them into elastic thread pool.  It's very helpful to many projects, to gain asynchronous and synchronous advances.","open","type: enhancement,","fugui","2021-05-09T01:28:03Z","2021-11-16T11:49:31Z"
"","27763","selfCoders → Split the RequestBodyAdvice.supports method into Request…","…BodyAdvice.beforeBodySupport and RequestBodyAdvice.afterBodySupport, judge whether the RequestBodyAdvice.beforeBodyRead and RequestBodyAdvice.afterBodyRead methods are applicable respectively , Corresponding changes have also been made to the related parts","closed","status: duplicate,","selfcoders","2021-12-04T01:16:01Z","2021-12-04T08:35:34Z"
"","27762","selfCoders → Split the RequestBodyAdvice.supports method into Request…","…BodyAdvice.beforeBodySupport and RequestBodyAdvice.afterBodySupport, judge whether the RequestBodyAdvice.beforeBodyRead and RequestBodyAdvice.afterBodyRead methods are applicable respectively , Corresponding changes have also been made to the related parts","closed","status: duplicate,","selfcoders","2021-12-04T01:01:13Z","2021-12-04T08:35:22Z"
"","27239","Replace XMLReaderFactory with SAXParserFactory","XMLReaderFactory has been marked as deprecated and without additional configuration, and it's slower than SAXParserFactory.  Previously `XMLReaderFactory.createXMLReader()` is called upon every request. This is an anti-pattern as mentioned in [1] and it can be very slow since it loads the jar service file unless a parser has been pre-assigned [2] (e.g. by setting org.xml.sax.driver).  SAXParserFactory uses a FactoryFinder [3] instead, which takes advantage of a thread-local cache provided by ServiceLoader. Developers can still pre-assign a factory by setting javax.xml.parsers.SAXParserFactory to make it faster.  [1] https://bugs.openjdk.java.net/browse/JDK-6925410 [2] https://github.com/openjdk/jdk/blob/c8add223a10030e40ccef42e081fd0d8f00e0593/src/java.xml/share/classes/org/xml/sax/helpers/XMLReaderFactory.java#L144-L148 [3] https://github.com/openjdk/jdk/blob/66c653c561b3b5e904579af62e23ff94952bca05/src/java.xml/share/classes/javax/xml/parsers/SAXParserFactory.java#L181-L185  ---  Related: #19055  Upstream discussion: https://mail.openjdk.java.net/pipermail/jdk-dev/2021-August/005853.html","closed","in: core,","Frederick888","2021-08-04T07:54:35Z","2021-12-02T10:34:33Z"
"","26899","Merge pull request #1 from spring-projects/master","x","closed","","ihoooooo","2021-05-06T02:08:00Z","2021-05-06T05:40:27Z"
"","27813","Deprecate CachingConfigurerSupport and AsyncConfigurerSupport","With default methods available for the base interface in `5.3.x`, let's deprecated the support classes as these are no longer necessary.","closed","type: enhancement,","snicoll","2021-12-14T13:00:52Z","2021-12-15T11:15:30Z"
"","27478","Support sending response payload metadata from RSocket Controllers","With bare RSocket, you can return payload metadata from a SocketAcceptor, and an RSocket client can receive that payload with metadata. Using Spring @Controller-annotated classes with @MessageMapping-annotated methods, you can't return any metadata/headers, the only supported direction for headers is in. RSocketRequester also has no way to receive them.","open","in: messaging,","gadams00","2021-09-27T15:47:07Z","2021-11-10T09:11:32Z"
"","27227","why you use cheap and traditional and hated technologies in spring core like servlet, java ee, jsr and so on why you don't present new webserver java 8 or later with new design in serving #27529","why you use cheap technologies in spring core like servlet, jsr and so on why you dont present new webserver java 8 or later with new design in serving  i can not understand why powerful spriong's developer use traditional web technologies like java ee why u can not update yourself with new design all java developers hate java ee ....","closed","status: invalid,","loveyandex","2021-07-29T21:50:53Z","2021-07-30T09:18:44Z"
"","27228","Why is there no index directory on the left? The operation now is very inconvenient!","Why is there no index directory on the left? The operation now is very inconvenient!  link: https://docs.spring.io/spring-framework/docs/current/reference/html/core.html","closed","status: duplicate,","starSmallDream","2021-07-30T05:13:21Z","2021-07-30T06:50:49Z"
"","27440","spring-security-oauth2-client:5.5.1 class OAuth2AuthorizationGrantRequestEntityUtils why UrlEncoder is added for client-secret","Why in spring-security-oauth2-client:5.5.1  Class->OAuth2AuthorizationGrantRequestEntityUtils  clientId and ClientSecret is encode using (URLEncoder.encode) before Base64 encoding of clientId and secret .  We were using 5.4.4 version of spring-security-oauth2-client previously to fetch token  using class OAuth2AuthorizationGrantRequestEntityUtils from external server .   After updating to spring-security-oauth2-client:5.5.1 spring had added logic to (URLEncoder.encode) client-secret which effect client-secret if they having special character and server not able to validate Authorization key we are sending to token endpoint.           String clientId = **encodeClientCredential**(clientRegistration.getClientId());          String clientSecret = **encodeClientCredential**(clientRegistration.getClientSecret());  Here we also have concern does this  mentioned in OIDC spec to do (URLEncoder.encode) before doing Base64 encode. As this will  cause problem for all client having client-secret with special character in them, as Authorization server will not able to validate them.","closed","for: external-project,","Dineshseervi","2021-09-20T10:24:23Z","2021-09-20T15:40:42Z"
"","27756","Update private methods to protected in AbstractJacskon2Decoder","Why do we need to change the private methods to protected in AbstractJackson2decoder?   - To have the ability to use all the default behavior but add some contextual information to the deserializer; Allowing  getObjectReader, getContextClass, logValue, and processException to be protected allows the extended classes of AbstractJackson2Decoder to achieve adding additional contextual information  - Also, avoid duplicating the logic","closed","status: declined,","sarathkumar6","2021-12-01T14:31:29Z","2021-12-13T14:37:01Z"
