"#","No","Issue Title","Issue Details","State","Labels","User name","created","Updated"
"","882","SPR-13545: fix for nullpointer when receiving a request with an inval…","…id transport type  Tagging @nstarke who wrote the fuzzer that found the issue.","closed","","benkiefer","2015-10-07T02:51:34Z","2015-10-07T09:59:39Z"
"","955","[SPR-13876] - fix ServletServerHttpRequest URI encoding issue, provid…","…e test case and fix test cases related","closed","","sammyhk","2016-01-19T04:54:45Z","2016-01-20T22:58:52Z"
"","1004","SPR-14043 Update xmlunit library to version 2.1.0","xmlunit 2.0.0 is the latest major release for xmlunit. Most of the xmlunit functionality used within spring-framework was done through the xmlunit 1.x  helper class org.custommonkey.xmlunit.XMLAssert. As of xmlunit 2.0.0 most of the XML comparison methods are done through hamcrest matchers exposed by the xmlunit-matchers library. In some cases during the migration, the matchers had to be customized with custom NodeMatcher or DifferenceEvaluator instances in order to keep correct the assertions performed with xmlunit 1.x library.  Issue: SPR-14043","closed","","mariusneo","2016-03-13T14:39:28Z","2016-07-21T13:05:59Z"
"","1003","Recognize string interning feature","We use the validation support in Spring WS to validate SOAP requests. Profiling has shown that we have a lot of caught SAXNotRecognizedException during normal program execution. They come from AbstractXMLReader.getFeature which is called from ValidatorHandlerImpl#validate. ValidatorHandlerImpl checks for the value of the string interning feature. Throwing a SAXNotRecognizedException is interpreted the same way as returning false.  Recognizing the feature and returning false preserves the semantics but gets rid of the SAXNotRecognizedException during normal control flow. - recognize the ""http://xml.org/sax/features/string-interning"" feature   as disabled  Issue: SPR-14047","closed","","marschall","2016-03-12T15:17:41Z","2016-03-14T15:57:17Z"
"","952","4.2.x","Want to use Spring for new project.","closed","","sdonthu","2016-01-06T19:49:18Z","2016-01-06T20:00:02Z"
"","1053","spring4.0.x","want to take pull of source code","closed","","Rajesh09545","2016-05-09T16:46:48Z","2016-05-09T16:52:10Z"
"","976","SPR-11055 REST parameter annotations on supertypes/interfaces","Walk up the method override hierarchy in order to discover REST parameter annotations declared on superclasses and interfaces. Because method parameter annotations are not inherited, this is not otherwise (and therefore was not previously) possible.  Issue: SPR-11055","closed","","mbenson","2016-02-23T21:45:32Z","2018-12-23T13:00:55Z"
"","1052","Fix CacheManager example in Javadoc","Use `CacheManager#setCaches()` instead of `CacheManager#addCaches()` in the Javadoc example.","closed","","ferstl","2016-05-08T17:05:10Z","2016-05-12T13:24:41Z"
"","989","Upgrade to OkHttp 2.7.5","Upgrade dependency to the latest OkHttp 2 version","closed","","royclarkson","2016-03-05T16:23:16Z","2016-03-31T20:19:17Z"
"","920","Consider MANIFEST.MF classpath when scanning","Update PathMatchingResourcePatternResolver to also consider classpaths provided by MANIFEST.MF when dealing with the System ClassLoader. It turns out that such entries are not exposed by URLClassLoader.getURLs().  Issue:","closed","","philwebb","2015-11-13T21:36:17Z","2015-12-18T11:03:36Z"
"","930","Merge pull request #1 from spring-projects/master","update my repository","closed","","FrankBian","2015-12-04T06:49:03Z","2015-12-04T09:11:47Z"
