"#","No","Issue Title","Issue Details","State","Labels","User name","created","Updated"
"","814","Add missing super.httpMethods(); in OkHttpClientHttpRequestFactoryTes…","…ts.httpMethods()","closed","","izeye","2015-06-07T09:53:59Z","2015-06-15T16:18:13Z"
"","777","Fix javadoc error with multiple profiles","When multiple profiles are specified, they are treated as an OR condition. The javadoc incorrectly says ""and/or"".","closed","","mikeroda","2015-04-15T18:46:40Z","2015-04-15T20:04:06Z"
"","831","SPR-13183 Send BindingResult Errors in ResponseEntityExceptionHandler","When a RESTful API method returns a 400 status due to validation errors, those errors are not returned. This commit changes the handleBindException() and handleMethodArgumentNotValid() methods to return the BindingResult errors as the response entity.  Issue: SPR-13183  I have signed the SpringSource CLA.","closed","","bonhamcm","2015-07-01T20:57:40Z","2015-07-06T17:57:34Z"
"","711","Merge pull request #1 from spring-projects/master","Update from master","closed","","furkanzumrut","2014-12-27T10:42:46Z","2014-12-27T10:43:03Z"
"","767","Document @Bean definitions via default methods","Update chapter “Declaring a bean” to mention the @default method bean definition approach.  Issue: SPR-12882","closed","in: core,","thomasdarimont","2015-04-02T12:05:37Z","2021-11-22T11:57:00Z"
"","820","Reduce BeanDefinition cloning from isFactoryBean","Update AbstractBeanFactory.isFactoryBean to only create the merged local bean definition when absolutely necessary.","open","type: enhancement,","philwebb","2015-06-18T19:26:11Z","2021-11-23T09:42:15Z"
"","821","Use method meta-data in getTypeForFactoryMethod","Update AbstractAutowireCapableBeanFactory.getTypeForFactoryMethod to use already loaded method meta-data when deducing the type of a factory method.","open","type: enhancement,","philwebb","2015-06-18T19:36:15Z","2021-11-23T09:38:33Z"
"","841","Merge pull request #1 from spring-projects/master","update","closed","","ghost","2015-07-20T04:03:01Z","2015-07-20T04:23:23Z"
"","760","Merge pull request #1 from spring-projects/master","Update","closed","","aqzwss","2015-03-22T03:51:31Z","2015-03-22T03:54:27Z"
"","716","Add 'public' visibility to facilitate tags (such as Select) extension.","Unless there is any side effect, when customizing JSP tags (e.g. extending SelectTag),  being able to access OptionWriter would be rather helpful.","closed","","hadri3n","2014-12-31T13:47:20Z","2022-02-18T19:11:05Z"
"","801","Parse @Scheduled attributes as long instead of int.","Trivial change: use `Long.parseLong` instead of `Integer.parseInt` because the assigned fields are of type `long`, not `int`. The current code is causing errors on startup when I try to use a value too big for an `int`.","closed","","echatman","2015-05-19T18:58:02Z","2015-05-20T18:47:16Z"
