"#","No","Issue Title","Issue Details","State","Labels","User name","created","Updated"
"","399","Update overview.html","合并原作者的更新","closed","","mezhou887","2013-11-03T15:26:21Z","2013-11-03T15:29:01Z"
"","508","Update Java EE spec dependencies","Where officially published to Maven Central, Java EE spec artifacts are moving to using coordinates of the form `:-api`, for example `javax.servlet.jsp:javax.servlet.jsp-api`. The build was already using some APIs with coordinates in this form, for example `javax.servlet.jsp:javax.servlet.jsp-api:2.2.1`. This PR updates the build to consistently use these new coordinates.","closed","","wilkinsona","2014-04-01T10:35:24Z","2014-06-14T13:09:03Z"
"","425","Sort the scanned Hibernate entities by name","When using AnnotationSessionFactoryBean.packagesToScan, the scan does not find annotated classes in a specific or stable order. The order used to add the classes to the configuration of the SessionFactory has a direct impact on the SQL queries generated by Hibernate, so different JVMs will generate queries that are equivalent but not equal: - It's impossible to get aggregated statistics across instances - It causes additional load for the database which has to parse   different queries  This is fixed by sorting the classes by fully qualified name, which provides a stable order across runs. It only adds stability and predictability, without changing the functionality.  Issue: [SPR-7742](https://jira.springsource.org/browse/SPR-7742)  I have signed and agree to the terms of the SpringSource Individual Contributor License Agreement.","closed","","fpavageau","2013-12-09T21:58:42Z","2013-12-10T21:26:41Z"
"","491","SPR-11581 Filter empty MIME types in BufferedImageHttpMessageConverter","When Oracle JAI is installed, `ImageIO.getReaderMIMETypes()` and `ImageIO.getWriterMIMETypes()` both return arrays with a leading empty string. It is unclear whether this is a valid behavior from `ImageIO` (the Javadocs are not specific), but it is not handled by `BufferedImageHttpMessageConverter`. That causes SpringMVC to fail to initialize when JAI is installed. - When looping over `ImageIO getReaderMIMETypes()` and `getWriterMIMETypes()` strip out any empty strings in `BufferedImageHttpMessageConverter`  The static nature of `ImageIO` makes writing a test for this difficult. If anyone has a suggestion for how one might be written to make this patch acceptable, I'd be happy to write it.","closed","","bturner","2014-03-20T05:09:48Z","2014-06-30T04:39:27Z"
"","391","Change validate() overloaded methods check (SPR-11025)","When checking for overloaded methods, ConfigurationClass.validate() don't take in account overloaded methods from superclasses.  The check was updated with the following steps - Add getParamerTypes to MethodMetadata interface - Split beanMethods Set into Lists by method name - For each bean method list, test that all have the same parameters - add Spr11025Test  Issue: SPR-11025","closed","","chelu","2013-10-23T22:47:25Z","2014-06-24T17:19:45Z"
"","390","Java config bean definitions are overridden by superclass (SPR-10992)","When adding bean methods from a Configuration class, overridden methods from superclass are added too and it's bean definition overrides those declared in the subclass.  The fix add a new method, getBeanMethodsToDefine to  ConfigurationClass that filter overriden methods,  for use in ConfigurationClassBeanDefinitionReader  Issue: SPR-10992  I have signed and agree to the terms of the SpringSource Individual Contributor License Agreement.","closed","","chelu","2013-10-19T03:04:24Z","2014-06-18T10:56:36Z"
"","398","Fix configuration class overriden/overloaded methods issues (SPR-10992, SPR-10988)","When adding bean methods from a configuration class, overridden methods from superclass are added too and it's bean definition overrides those declared in the subclass.  The fix add a new method, getBeanMethodsToDefine that filter overriden methods for use in ConfigurationClassBeanDefinitionReader  When overloading methods from a configuration class, the most specific subclass bean method is invoked only if - Argument types has the best match - Overloaded method in subclass has the same number of arguments.  The fix sets the factory method to use from beanMethod metadata to RootBeanDefinition.resolvedConstructorOrFactoryMethod in ConfigurationClassBeanDefinitionReader.loadBeanDefinitionsForBeanMethod() to avoid looking for appropiate factory method in ConstructorResolver  later.  This pull request already includes changes from https://github.com/spring-projects/spring-framework/pull/390  Issues: SPR-10992, SPR-10988","closed","","chelu","2013-10-30T09:46:22Z","2013-11-04T23:33:13Z"
"","515","With relation to [SPR-11126] problem converting empty parameter to List,","We want to get a request parameter with the type of List in the Spring-mvc Controller class like below  ``` java SampleController.java @RequestMapping(value = ""/urlpath"") public void create(@RequestParam(value = ""param"") List paramList) {  ... } ```  When invoking "".../urlpath?param="", We expect `List` has size 1 with empty String value, but actually the size of `List` is 0.  Actually `StringUtils.commaDelimitedListToStringArray(String)` method is a real worker, but the purpose of that method is to return the empty array in case of empty input(by java doc). So, I slightly chnaged `convert(Object source, TypeDescriptor sourceType, TypeDescriptor targetType)` method in the `StringToCollectionConverter` class.  reated Issue:","closed","","MoonJongMin","2014-04-18T01:52:54Z","2014-06-25T01:11:26Z"
"","514","Minor doc fix to sample for @ConstructorProperties","Very minor doc fix for a sample on `@ConstructorProperties` - http://stackoverflow.com/questions/23073226/constructorproperties-annotation-does-not-work/23073551","closed","","bijukunjummen","2014-04-15T02:34:12Z","2014-07-08T04:31:45Z"
"","479","SPR-11505: Use deepHashCode for keys","Using deepHashCode allows for cache keys that work with methods that have arguments that are array types.","closed","","candrews","2014-03-04T15:54:40Z","2014-06-25T11:07:23Z"
"","478","SPR-11505: Use deepHashCode for keys","Using deepHashCode allows for cache keys that work with methods that have arguments that are array types.","closed","","candrews","2014-03-04T15:54:39Z","2014-06-18T21:16:23Z"
