"#","No","Issue Title","Issue Details","State","Labels","User name","created","Updated"
"","1872","Merge pull request #1 from spring-projects/master","源码同步","closed","","ganyinglong","2018-07-07T04:06:32Z","2018-07-09T13:21:22Z"
"","1957","Remove duplicate blank in log message of  ExecutorConfigurationSuppor…","…t#initialize  (obvious fix)","closed","","PascalSchumacher","2018-09-12T19:17:55Z","2018-09-12T19:32:44Z"
"","1830","SPR-16831 Allow null value for second attribute for ConcurrentModel.a…","…ddAttribute(String, Object) according to the documentation","closed","","ddelamotte","2018-05-17T08:47:34Z","2018-05-17T11:05:21Z"
"","1863","SPR-16958 - Introduce GSON based MessageConverter","With this commit we introduce a GSON bases message converter for both JMS as well as the generic messaging infrastructure.  fixes: SPR-16958","closed","in: messaging,","mdeinum","2018-06-21T06:19:59Z","2021-11-24T14:38:06Z"
"","1893","Suggest use of ConfigurableApplicationContext","Why it's not ConfigurableApplicationContext","closed","","vincenthsin","2018-07-21T13:25:05Z","2018-07-24T06:20:46Z"
"","1946","5.0.x","while testing org.apache.cxf.systest.ws.algsuite.action.ActionTest.java in apache-cxf i see  java.lang.NoClassDefFoundError: Could not initialize class org.springframework.beans.CachedIntrospectionResults  HINT: CachedIntrospectionResults available in CLASSPATH via      org.springframework  spring-beans  5.0.7.RELEASE  Specifically i need to understand: HOW org.springframework.beans.BeanUtils.class references CachedIntrospectionResults HOW org.springframework.beans.BeanWrapperImpl.class references CachedIntrospectionResults  *gruss*","closed","","mgainty","2018-08-28T17:39:07Z","2018-08-29T05:05:09Z"
"","1742","SPR-16604 - Prevent response body from being read at DefaultResponseErrorHandler.hasError() on unknown HTTP status code","When response contains HTTP status code not defined in `HttpStatus` enum, `DefaultResponseErrorHandler.hasError(ClientHttpResponse response)` calls `getHttpStatusCode(ClientHttpResponse response)` which reads response body and throws `UnknownHttpStatusCodeException`. In this case `false` value will be returned (which means response doesn't have error) and `ResponseExtractor.extract()` in `RestTemplate` is called with response which body has been already read.  Issue: [SPR-16604](https://jira.spring.io/browse/SPR-16604)","closed","","denysivano","2018-03-16T15:31:31Z","2018-03-28T09:23:32Z"
"","1901","Make ""PathVariable reflects value up to 1st semicolon"" consistent","When I was reading 66d73017d5406e46c176a44e5204922d167bef93, I noticed that assertions for ""reactive"" and ones for ""servlet"" are different. This PR tries to make ""servlet"" codes align with ""reactive"" ones to be consistent with an assumption that ""reactive"" ones are correct.","closed","","izeye","2018-07-26T14:03:06Z","2018-07-27T13:10:04Z"
"","1936","More defensive about bad URLs","We can safely catch Throwable here without affecting the logic  Issue: SPR-17198","closed","","dsyer","2018-08-22T09:44:13Z","2018-08-23T07:32:52Z"
"","1825","SPR-16809 - Use ""internalSet"" instead of normal setter.","Using ""internalSet"" instead of normal setter can avoid checking int param, because if `constants.asNumber()` works as expected and does't throw exception, the param checking in normal setter will never fail. Issue: SPR-16809","closed","","nkjackzhang","2018-05-10T08:06:34Z","2022-02-18T19:11:09Z"
"","1790","Improve timestamp support for postgresql database","Use specific PGTimestamp postgresql class for timestamp binding to avoid ERROR: could not determine data type of parameter error  This is a proposed improvement for https://jira.spring.io/browse/SPR-16719","closed","in: data,","amergey","2018-04-12T15:05:09Z","2021-12-21T08:06:14Z"
"","1891","SPR-17074 Replace iteration over Map::keySet with Map::entrySet","Use more efficient iteration over Map::entrySet in frequently called methods.","closed","","stsypanov","2018-07-21T10:40:02Z","2018-07-21T11:54:27Z"
"","1911","SPR-17074 Use lambda for lazy instantiation","Use lambdas to prevent unnecessary String concatenation / objects instantiation.","closed","","stsypanov","2018-07-31T10:38:15Z","2018-07-31T12:25:08Z"
"","1752","Polish: map entries should be iterated when both the key and value are needed","use java 8 language features to iterate on maps and transform data set by streams","closed","","igor-suhorukov","2018-03-25T09:38:14Z","2018-03-27T23:06:51Z"
"","1952","4.3.x","UrlBasedViewResolver:  org/springframework/web/servlet/view/UrlBasedViewResolver.java	  LINE 529 Modify:   `view.setUrl(getPrefix() + viewName + getSuffix());`  TO:  ``` String fullUrl=getPrefix() + viewName + getSuffix(); fullUrl=fullUrl.replaceAll(""/+"",""/""); view.setUrl(fullUrl); ```   If the user accidentally configures multiple slashes that Jetty cannot run, replace multiple slashes with one.","closed","","leefine","2018-09-07T03:30:03Z","2018-09-07T07:48:23Z"
"","1921","SPR-17144 - Fix ContextPathCompositeHandler response completion","Updated ContextPathCompositeHandler so that it does not discard the result of setting the response as complete. This was causing a 200 status code to be returned instead of the intended 404 status code.  Issues: SPR-17144","closed","","maubergine","2018-08-08T10:26:32Z","2018-08-08T13:47:29Z"
"","1878","Merge pull request","update from origin","closed","","zhaoshengxuan108","2018-07-09T12:33:18Z","2018-07-09T12:35:26Z"
"","1826","SPR-16797 - Update CollectionFactory to support Immutables","Update CollectionFactory to support Guava's ImmutableCollections (List, Set, Multiset) and ImmutableMaps (Map, BiMap, SortedMap).","closed","","dancerjohn","2018-05-10T11:34:38Z","2018-05-10T12:40:10Z"
"","1933","SPR-17195 Fix unusable assertions in HeaderAssertions","Two header assertions (expires, lastModified) accept int parameter whereas HttpHeaders class stores those headers as long. It makes them always fail as Object::equals is used for comparing.  The change casts incoming values to long.","closed","","konradczajka","2018-08-19T08:17:50Z","2018-08-19T16:59:34Z"
"","1803","Fix typo","trivial wording fix in javadoc","closed","","dimitrisli","2018-04-21T12:50:18Z","2018-04-24T08:08:35Z"
"","1975","Updated referenced dependency on project reactor to working version","Tried to use the referenced `io.projectreactor.netty:reactor-netty` however the dependency was not found. Changing it to `io.projectreactor.netty:reactor-netty:0.8.0.RELEASE` leads to the dependency being found but getting a `ClassNotFoundException` at runtime.  After switching to: `io.projectreactor.ipc:reactor-netty` everything started working.","closed","","kylec32","2018-10-02T05:11:52Z","2018-10-02T08:17:48Z"
"","1845","Update reactor-netty to the latest groupId/package and API changes","This superseeds #1831","closed","","smaldini","2018-05-31T16:41:44Z","2018-05-31T19:40:22Z"
"","1918","Polish build script","This simplifies build script by removing the following unnecessary properties from `wrapper` task configuration:  - `description`: has no effect as no such property exists in Gradle's [`Wrapper`](https://docs.gradle.org/current/dsl/org.gradle.api.tasks.wrapper.Wrapper.html#N2855B) which can be verified with:  ```shell $ ./gradlew tasks | grep wrapper wrapper - Generates Gradle wrapper files. ```  - `gradleVersion`: not needed as `wrapper` task should preferably be [invoked with `--gradle-version`](https://docs.gradle.org/current/userguide/gradle_wrapper.html#sec:upgrading_wrapper) option which also eliminates the need to modify the build script on each upgrade of Gradle:  ```shell $ ./gradlew wrapper --gradle-version 4.8.1 ```","closed","","vpavic","2018-08-06T18:25:21Z","2018-08-13T11:14:06Z"
"","1956","Error details in RestTemplate client and server exceptions","This pull request supersedes #21667 that contains the original description and discussion.","closed","type: enhancement,","jerzykrlk","2018-09-11T20:31:23Z","2019-11-18T07:04:59Z"
