"#","No","Issue Title","Issue Details","State","Labels","User name","created","Updated"
"","1505","合并更新","合并更新","closed","","fqyee","2017-08-24T03:03:21Z","2017-08-24T06:42:22Z"
"","1605","SPR-16235 - ResourceBundleMessageSource uses ConcurrentHashMaps instead of synchr…","…onization  Issue: https://jira.spring.io/browse/SPR-16235","closed","","imasahiro","2017-11-26T16:26:34Z","2018-01-09T21:19:00Z"
"","1624","SPR-16295 - Programmatic creation of caching proxies using CacheProxy…","…FactoryBean does not work.  This changes the o.s.cache.interceptor.CacheProxyFactoryBean to implement the SmartInitializingSingleton and BeanFactoryAware interfaces, which delegate to the internal CacheInterceptor in order to appropraiately configure the interceptor to enable the creation of cache proxies programmatically.  Resolves SPR-16295","closed","","jxblum","2017-12-12T21:21:10Z","2018-01-14T22:47:58Z"
"","1623","Fixes SPR-16295 - Programmatic creation of caching proxies using Cach…","…eProxyFactoryBean does not work.  This changes the o.s.cache.interceptor.CacheProxyFactoryBean to implement the SmartInitializingSingleton and BeanFactoryAware interfaces, which delegate to the internal CacheInterceptor in order to appropraiately configure the interceptor to enable the creation of cache proxies programmatically.","closed","","jxblum","2017-12-12T21:10:19Z","2017-12-12T21:17:08Z"
"","1594","Updating WebClient's javadocs","without this change the code in the Javadocs of `WebClient` is invalid. It doesn't compile. with this change, I've updated the Javadocs to be consistent with the current implementation  related issue - https://jira.spring.io/browse/SPR-16197","closed","","marcingrzejszczak","2017-11-14T17:25:09Z","2017-11-23T04:29:00Z"
"","1520","Remove ""chin"" in admonition blocks of reference documentation.","Without the change proposed, admonition blocks carry quite a ""chin"" that looks heavy.  Before:    After:","closed","","odrotbohm","2017-09-08T14:07:43Z","2017-09-25T13:21:10Z"
"","1590","SPR-16178: Fix NullPointer in DefaultRequestBodyUriSpec.cookies method","When you are using  ```DefaultRequestBodyUriSpec.cookies(Consumer> cookiesConsumer)``` method the map from consumer is null as it is not initialized anywhere.","closed","","Yneth","2017-11-08T22:26:44Z","2017-11-09T22:17:48Z"
"","1526","AbstractListenerWriteFlushProcessor: Ensure the last flush will be performed","When writing Publisher>, a flush operation is performed onComplete for every Publisher. If the flush operation is not able to be performed immediately it will be retried before starting to process data provided by the next Publisher. For the last Publisher the implementation needs to ensure that the flush will be performed only then whole operation will complete.  Issue: SPR-15949","closed","","violetagg","2017-09-13T22:15:59Z","2017-09-18T12:33:01Z"
"","1522","SPR-15944  solve the bug of i18n dynamic switching","when we set ""localeResolver"" to realize the i18n dynamic switching, if we access to the jsp page directly, it's invalid.","closed","status: declined,","wuyuyan","2017-09-09T10:19:44Z","2021-11-15T11:58:13Z"
"","1521","solve the bug of i18n dynamic switching","when we set ""localeResolver"" to realize the i18n dynamic switching, if we access to the jsp page directly, it's invalid.","closed","","wuyuyan2256","2017-09-09T10:07:14Z","2017-09-09T16:11:25Z"
"","1553","SPR-16060 - Enhance AnnotationUtils to find annotations on generic interfaces","When scanning for annotations on a class that implements a generic interface where the generic type is specified in the implementing class, annotation scanning would fail to identify annotations from the interface since the parameter types do not match.  For example, given an interface: ```    public interface Foo {        @Order        void foo(T t);    } ``` and a class: ```    public class StringFoo implements Foo {        public void foo(String s) { ... }    } ``` when scanning StringFoo.foo for annotations, no annotations were identified.  This commit changes annotation scanning so that when scanning for annotations, the parameters are compared for assignability (using Class.isAssignableFrom()) rather than requiring exact matches.  Issue: SEC-3081","closed","","christor","2017-10-11T02:58:19Z","2018-07-18T17:47:14Z"
"","1696","Handle end of stream when reading the request body","When reading request body -1 means all data read. Instead of waiting for an event from the server, call onAllDataRead immediately.","closed","","violetagg","2018-02-20T17:41:30Z","2018-03-05T13:43:40Z"
