"#","No","Issue Title","Issue Details","State","Labels","User name","created","Updated"
"","1471","refactor redundancy code in spring-core/src/main/java/org/springframe…","…work/util/CommonsLogWriter.java","closed","status: superseded,","qcq","2017-07-07T16:09:59Z","2021-04-27T11:09:57Z"
"","1331","Make PathPatternParser multi-threaded","With this change the original PathPatternParser is renamed InternalPathPatternParser and a new PathPatternParser class is added. This new PathPatternParser class is a very simple thread-safe wrapper for the InternalPathPatternParser. It achieves this by creating a new InternalPathPatternParser for each new parse request.  This follows the model used for SpEL parsing.","closed","","aclement","2017-02-20T01:18:22Z","2017-02-21T10:51:15Z"
"","1355","SPR-11587: Support multiple TilesContainer per ServletContext","Why i did this - because Spring fails to properly support multiple TilesContainer per ServletContext because its using a ""null"" key mapping, multiple container in different FrameworkServlets will override each others factory. See ticket for details.  Question to be answered:  1. Should i include visibility/extension changes according to the ticket in this one or do another changeset - still tbd? 2. Are the test enhancements / naming made sufficient?  Discussion in general:  Still need to polish it to the coding guidelines - but want to get early feedback on the general refactoring  stuf, if it fits your expectations or how todo it better. Package visibility access on many properties is not my favourite - should i refactor those in getters or pass the needed references to each instance via construction parameters? Any other ideas?  ICLA  submitted.  Issue: SPR-11587","closed","status: declined,","tkrah","2017-03-13T17:13:53Z","2021-11-11T09:36:51Z"
"","1345","SPR-15683 Avoid NullPointerException if cron expression is null","When you pass a null cron expression to the constructor of ```CronTrigger```, it creates a ```CronSequenceGenerator``` instance which calls the ```parse()``` method from its constructor. Inside this method the cron expression is first tokenized by ```StringUtils.tokenizeToStringArray()``` (which will return null if the cron expression is null) and put into the ```fields``` variable. Then, if the content of ```fields``` is considered invalid (null or not having the right number of elements), an ```IllegalArgumentException``` is thrown. But as we are using ```fields.count```'s value to create the message of the exception, we get a ```NullPointerException``` (with no message) instead when ```fields``` is null.  These changes let the ```parse()``` method throw an ```IllegalArgumentException``` with a message when ```fields``` is null.","closed","","tonymanou","2017-03-03T21:51:19Z","2017-06-25T10:10:50Z"
"","1297","SPR-15140: @RequestParam injects a raw undecoded string for reactive HTTP requests","When using spring-web-reactive, %-encoded strings were injected as-is into @RequestParam variables, which does not coincide with spring-webmvc behaviour.  Example:   ```java @ResponseBody @GetMapping(""/search"") public String search(@RequestParam(""q"") String q) {     return q; } ``` ```bash curl -s 'http://localhost:8080/search?q=%20%2B+%C3%A0' ```  Spring Web Reactive: `%20%2B+%C3%A0` Spring Web MVC: `(space)+ à`  (`(space)` is a space character, GitHub seems to remove leading whitespaces...)  ---  The cause is that `AbstractServerHttpRequest.getQueryParams()` is returning undecoded name-value pairs, while the interface method `ServerHttpRequest.getQueryParams()` specifies (in javadoc) to return *decoded* ones.  This commit fixed the `AbstractServerHttpRequest` implementation to correctly return decoded name-value pairs and added an unit test.  https://jira.spring.io/browse/SPR-15140  (I have signed the CLA.)","closed","","eiiches","2017-01-14T19:04:10Z","2017-01-17T17:48:55Z"
"","1400","Clear the buffer provided by Undertow before reading the request","When reading more that once for a given request, the position/limit of the buffer provided by Undertow should be reset in order to use the full capacity of the buffer.","closed","","violetagg","2017-04-24T20:19:02Z","2017-06-19T18:41:39Z"
"","1393","SPR-15470 - Update MimeType.java","When I use io.undertow.util.Headers#extractQuotedValueFromHeader it required space","closed","","dmitriyartanov","2017-04-19T10:40:56Z","2017-06-01T17:59:45Z"
"","1477","SPR-7582 - Rebuild Advisor chain when interceptor list is updated in ProxyFactoryBean","When getObject() on ProxyFactoryBean is called it might not be fully initialized yet, leading to an exception. This is fine, but the empty Advisor chain is never rebuilt, not even after initialization has finished. This leads to 'no-op' proxies which don't do anything.  Issue: SPR-7582","closed","in: core,","marijnm","2017-07-16T20:33:24Z","2021-12-13T13:39:09Z"
"","1414","AbstractListenerWriteProcessor/AbstractListenerWriteFlushProcessor error handling","When an exception happens while writing/flushing the data, the exception handling for Servlet 3.1 based implementation will happen when WriteListener#onError and AsyncListener#onError events are received","closed","","violetagg","2017-05-02T21:25:31Z","2017-06-19T18:41:58Z"
"","1290","Guava throw NPE when 'allowNullValues=false'","When `GuavaCache.allowNullValues = false`, if cache value is null, the Guava cache will throw a *NullPointerException*:  ```java java.lang.NullPointerException: null 	at com.google.common.base.Preconditions.checkNotNull(Preconditions.java:210) 	at com.google.common.cache.LocalCache.put(LocalCache.java:4147) 	at com.google.common.cache.LocalCache$LocalManualCache.put(LocalCache.java:4754) 	at org.springframework.cache.guava.GuavaCache.put(GuavaCache.java:122) 	at org.springframework.cache.interceptor.AbstractCacheInvoker.doPut(AbstractCacheInvoker.java:82) 	at org.springframework.cache.interceptor.CacheAspectSupport$CachePutRequest.apply(CacheAspectSupport.java:780) 	at org.springframework.cache.interceptor.CacheAspectSupport.execute(CacheAspectSupport.java:428) 	at org.springframework.cache.interceptor.CacheAspectSupport.execute(CacheAspectSupport.java:327) 	at org.springframework.cache.interceptor.CacheInterceptor.invoke(CacheInterceptor.java:61) ```","closed","","Robin7Ma","2017-01-10T07:06:44Z","2017-01-20T16:54:44Z"
"","1416","Merge pull request #1 from spring-projects/master","WebFlux multpart support polish + minor refactoring","closed","","leerenbo","2017-05-04T13:55:30Z","2017-05-04T13:56:08Z"
