"#","No","Issue Title","Issue Details","State","Labels","User name","created","Updated"
"","1504","Notification Color for Individual Contacts or Groups","~~how about we edit this one too?  or just delete it.....~~ :see_no_evil:","closed","feature,","ghost","2014-05-17T17:36:35Z","2018-04-02T21:27:40Z"
"","1539","MMS Issue / Image switching","~~having issues? better go somewhere else.. mods don't care.~~ :see_no_evil:   something about receiving an image in the wrong conversation, claims that it wasn't just the image preview was wrong but the image itself was wrong.","closed","mms,","ghost","2014-05-28T20:59:46Z","2015-05-20T18:57:09Z"
"","2296","Unlock Screen Theme","~~don't bother posting issues here, they won't get fixed.. mods don't care~~ :see_no_evil:   something about the theme of the unlock screen.","closed","ux,","ghost","2015-01-04T20:03:25Z","2015-05-20T23:30:20Z"
"","1714","Option to select SMS in sending group message","Your app is really cool, but sending group message is pain as hell. Kindly add an option to select SMS in sending GM, than a default MMS. If I just miss something in config, kindly point it out.. using 4.2.2 Jelly Bean.","closed","","grigornobga","2014-07-19T22:22:37Z","2016-04-02T12:11:56Z"
"","1829","Drupal Module for TextSecure integration","would love to see a [Drupal](https://drupal.org) [module](https://www.drupal.org/project/project_module) for TextSecure integration. I've been thinking of making such a module, personally. Not sure if this is the place to put in such feature requests.","closed","","fnord0","2014-08-14T01:50:58Z","2014-08-15T08:50:59Z"
"","1391","Feature: Media management","Would love an encrypted place to store and sort media so they never have to leave the encrypted space.","closed","feature,","yaplej","2014-04-18T05:32:53Z","2015-02-16T05:46:31Z"
"","1358","UTC time displayed instead of local time zone","With the new display of message sent time, my Motorola Droid Pro with Gingerbread 2.3.4 shows UTC time the message was sent. Message receive time in message details still shows the local time. The notification of the message also shows the correct local time.","closed","","gklyber","2014-04-13T21:19:41Z","2018-07-26T01:51:42Z"
"","1709","Disable secure messaging doesn't work","With the latest version 2.1.0 I noticed that disabling the secure messaging function from the padlock menu, doesn't have an effect. The message confirming that secure messaging is disabled is displayed both for me and the recipient, but the send button as well as the text bubbles still has the closen padlock icon.","closed","","LikeHoo","2014-07-18T10:44:22Z","2018-06-26T21:15:17Z"
"","1446","High CPU load/App not responding when sending/receiving messages","With the latest TextSecure my friend and I experience the following problem:  When sending a message or when receiving a message the app is responding slowly/lagging.  Example: - Type a message - Send message - Right after sending the message type a new message   => Keys are not processed, the app reacts slowly/lags  Example: - Type a message - App receives a message   => Keys are not processed, the app reacts slowly/lags  After a few seconds everything is working smoothly again","closed","performance,","SlappyHours","2014-04-30T21:55:37Z","2015-11-04T08:30:19Z"
"","2250","image sending bug","With the lastest TextSecure version, some recipients can't see my sended images. I don't know why, but I forced them to use TS as a replacement for WhatsApp and now they tell me, that they can't see my sended images. Is this a known issue?","closed","mms,","marsianer","2014-12-20T20:49:12Z","2015-10-23T18:56:35Z"
"","1876","Automatic backup","With regards to #1705 I would propose automatic daily backups.  There things to consider: If a person has not set up a passphrase, would an automatic backup be of security concerns? That would introduce the need for another UI-element, which is not an option when sticking to the development ideology. And only having automatic backups after setting up a passhprase is opaque.  So I guess the best solution would be to bring in Flock: Let's enable automatic backups only if Flock is present and in a way that only Flock can access the (maybe unsecured) backup-data.","closed","feature,","perguth","2014-08-27T14:04:26Z","2015-05-29T23:45:31Z"
"","2195","Black Screen with Android 5.0.1","With Current Unofficial CM Android 5.0.1 Build i get a black Screen after login.","closed","","Minz0r","2014-12-07T16:38:59Z","2014-12-07T16:47:36Z"
