"#","No","Issue Title","Issue Details","State","Labels","User name","created","Updated"
"","2698","When using Voice+, outgoing SMS via TextSecure don't send","~~Voice+ (VoicePlus) seemed to work fine with TS in #27, but seems to be failing now.~~ EDIT: Assumed it was working, but skimmed too quickly, and it appears it hadn't worked before.  https://gist.github.com/anonymous/20e05fe900419aed8089 - Nexus 4 (mako)  - CyanogenMod 11, M11 shapshot. - TextSecure 2.7.0-B1 ### To Reproduce 1. Install Google Voice app 2. Enable Voice+ 3. Set GV to ""Receive text messages"", and enable ""Text notifications"" (they will be suppressed by V+) 4. Set stock SMS app as default. Try sending and receiving via that app successfully (via GV data). 5. Set TextSecure as default. Receving works fine, but sending gets stuck, with long-press msg details showing:  > **Sent** - > **Via** Pending...  (I wasn't trying on totally fresh phone wipe, but I can retry that later if it would uncomplicate things.) ### Expected Behaviour  It seemed that the Voice+ system app allowed any regular SMS app to send/receive using Google Voice. I'll have to look into how TS might act differently.  EDIT: cc @lachesis since you seemed interested once upon a time :)","closed","","patcon","2015-03-16T06:29:57Z","2015-03-16T06:52:23Z"
"","2756","Blank Message Input","~~still having issues? don't bother posting here... won't get you anywhere.~~ :see_no_evil:   sometimes you type into the conversation edit text and no text actually appears.","closed","","ghost","2015-03-23T15:31:01Z","2015-10-22T00:11:21Z"
"","2328","Passphrase keeps timing out randomly","~~edited... no point in contributing to this project... waste of time~~ :see_no_evil:   passphrase randomly times out earlier than expected.","closed","","ghost","2015-01-12T16:07:57Z","2018-04-02T21:29:50Z"
"","3091","NewConversationActivity contact filter behaves differently on different phones","~~[method source](https://github.com/WhisperSystems/TextSecure/blob/master/src/org/thoughtcrime/securesms/contacts/ContactsDatabase.java#L135)~~  ~~given the above fuzzy filter `""%"" + filter + ""%""` you would expect that for the string `Axolotl` the following filters would match: [`Axo`, `olo`, `otl`]. however, on certain phones only the first (`Axo`) matches. incomplete list of affected devices confirmed via TestObject:~~  EDIT: I think the root of this problem is actually in `ContactsDatabase.queryAndroidDb()`, not `ContactsDatabase.queryLocalDb()`. Give the string `Axolotl` and the filters [`Axo`, `olo`, `otl`], the following devices will only match on (`Axo`) when expected to match on all 3.  Motorola DROID X2, Samsung I9070, HTC One SV, Fairphone, Wiko Rainbow, HTC One S.","closed","","rhodey","2015-04-30T18:53:56Z","2015-05-04T18:22:52Z"
"","2566","Verify button too small","You're probably aware of this but I wanted to be sure ;) I'm running a current master build and the verify button is too small:  ![screenshot_2015-03-03-19-03-16](https://cloud.githubusercontent.com/assets/5296073/6468832/3fdab096-c1d8-11e4-8d83-b5630c8fcba8.png)","closed","","agrajaghh","2015-03-03T18:06:55Z","2015-03-06T01:07:35Z"
"","3097","crash while scrolling contact list","You're gonna think my phone is cursed for all the crashes I get... log: https://gist.github.com/92ff902383cb1cd71286","closed","","ghost","2015-05-02T16:44:22Z","2015-05-13T18:56:50Z"
"","3134","Cursor not shown when typing a message","You know the little pulsing bar that appears when writing something in a text box? (I'm sure i thas a name but I can't think of a better description right now). Since 2.14.1 (probably 2.14) it has disappeared from textsecure. This obviously makes it hard and uncomfortable to write messages.. I like textsecure, and I appreciate the effort you're putting into it, really. But do you even test the app before releasing updates? Missing commas that screw the phones and make us lose messages, huge usability problems that would've taken 10 seconds to notice... I mean... of course it's human to forget a comma or introduce bugs, we all know it. The problem is that testing should be considered _fundamental_, even when you have beta testers. Beta testers are supposed to find smaller problems, not sacrifice their product for the sake of bugs. That's what the developers should be doing. Apologies if it sounds rude, and thanks again.","closed","","ghost","2015-05-08T08:18:12Z","2015-05-14T17:09:07Z"
"","2619","Resend button in message details gives no real feedback","You can tap the resend button all day long. It just blinks on taping. That's it.  You don't know if it's resending or not.   At least for my failed MMS.","closed","ux,","McLoo","2015-03-07T20:07:08Z","2015-03-17T08:17:25Z"
"","3021","After update password wrong","Yesterday i installed the update to version 2.11.1 on all my (family and me) devices. The update process finished without any error. But after restart on one of the devices i get the error password wrong. I tried it several times but i ever get the same error. Also after restart the same problem. The passwort is right, i definitly know it. What can i Do?  ty Kauschi","closed","","Kauschi","2015-04-20T21:23:12Z","2015-07-01T14:53:31Z"
"","2646","Visually combine messages that were sent shortly after each other","Would it be possible to visually combine incoming and outgoing messages from the same user into one message? I think it wastes a lot of space if there is the name and icon for the user with each message.   ![screenshot_2015-03-11-21-33-38](https://cloud.githubusercontent.com/assets/4339033/6606269/9c8e8452-c836-11e4-8deb-11c7567860b1.png)  All the messages that were sent 7 minutes ago could be combined into one if no other user has sent anything inbetween. Each message in a new line.","closed","","gartenriese2","2015-03-11T20:37:01Z","2015-03-11T20:39:27Z"
"","2530","Polling support (until websockets work)","Would it be possible to implement polling (e.g. every 15 minutes) until websocket support is available? I use this on Threema and it's almost as good as push and there is no heavy battery drainage. The load on the server shouldn't be too heavy as only few people are not using GCM. I really would like to switch to TextSecure, but as many others won't install Google Services for it.","closed","","jensschulz","2015-02-25T23:58:40Z","2015-02-26T00:02:15Z"
"","2610","[Feature request] Animated Gifs in Conversation","Would be really great, if TextSecure, as other messengers, would be able to show the animation of animated gifs in the conversation.","closed","","scroom","2015-03-07T09:55:31Z","2015-03-08T23:45:19Z"
"","2343","2.4 changelog missing in Google Play","Would be nice to get the changelog there once the crashing bug has been resolved with version 2.4.1 (I assume)","closed","","piratenpanda","2015-01-13T23:33:41Z","2015-01-15T18:50:54Z"
"","2421","Can't correctly translate plurals in TextSecure on Transifex","With the latest strings added to the TextSecure project on Transifex there is no way for me to correctly translate them to my language (Slovenian). Transifex has native support for plurals but it seems it only works if the original entries are added correctly. This worked on other projects but it doesn't work with TextSecure.  From the Transifex documentation:  ""Transifex has native support for plurals, as long as the format itself supports them. Formats that can deal with plurals are for instance Gettext and Android .xml files.  When Transifex encounters a pluralized entry in the file, it will associate both plural forms together. This way, Transifex can present the translator with both forms in the editor. At the same time, Transifex knows how many plural forms each language has and asks the translator to fill in all of them. That is, the translator cannot save the entry, unless he fills in all plural forms in the specified language.""  http://docs.transifex.com/developer/formats/","closed","","bungabunga","2015-02-07T09:40:51Z","2015-02-09T19:24:58Z"
"","3101","update emoji order after closing","With the last update, the emoji drawer changes the order of emojis in the recently used every time you use one. So it is kind of difficult to use the same emoji twice (you can't just tap twice as the emoji moves after the first tap). It would be more intuitive if the order was updated after the drawer is closed and reopened, and not ""live"" as it's being done now. Did I explain it well?","closed","ux,","ghost","2015-05-03T20:33:38Z","2015-05-21T18:07:24Z"
"","3016","Labeled messages or a conversation search function (internal)","Why not make it possible to label certain messages? For example, me and my wife send bill related information between each other. I need to be able to find these messages in a smoother way than scrolling through the whole conversation. It also would be nice to have a normal search function inside the conversations. Cheers!","closed","","rigelq","2015-04-19T07:49:23Z","2015-04-20T16:46:47Z"
"","2943","Where are the old text-only smileys?","Why did you remove the old text based smileys? I don't like all this emoji crap and preferred the other ones.","closed","feature,","sjaeckel","2015-04-10T17:15:40Z","2015-06-03T09:05:18Z"
"","2866","Fix failed SMIL generation when part name is null","While this prevents the NPE, I don't yet understand why there was a part without a set name since all Slide objects do this.  Fixes #2851","closed","","mcginty","2015-04-02T19:01:11Z","2015-04-02T20:44:00Z"
"","2544","disconnect radio regardless of MMS exception","While there are no logs to confirm it was the cause of #2498, looking at the code we see any exceptions thrown in `retrieveAndStore()` or `sendMms()` that aren't IOException will bypass the call to `radio.disconnect()`, leaving the phone in a permanent wakelock.  This plays it much safer by wrapping all the code using the radio with a try-finally to ensure disconnect happens.","closed","","mcginty","2015-02-27T22:16:57Z","2015-03-12T19:29:49Z"
"","3170","invalidateSelf() on the main thread","While not documented, from the Android code it appears Drawables must invalidate themselves on the main thread to avoid off-main-thread UI operations.","closed","","mcginty","2015-05-15T00:39:07Z","2015-05-15T14:21:26Z"
"","2620","MMS in resend cycle is indicated as sent","While my failed MMS gets resend at some point it's shown in the solid green that's indicating a successfully sent message. Log from exact that moment: https://gist.github.com/2a7082708e70ac0751f7  Edit :Sending failed again after submitting log","closed","mms,","McLoo","2015-03-07T20:10:27Z","2015-03-17T08:21:14Z"
"","2924","Fix sendComplete UI updates on destroyed views","While I couldn't reproduce, should fix #2915 for people with phones that for whatever reason have longer IO times.  On a larger note, it might be worth considering a model where we use EventBus or Otto and AsyncTask simply broadcasts an event on finish. Activities and Fragments can choose to only listen for events when their UI is ready to react to them. By now it's become obvious that any AsyncTasks that end in unchecked UI operations are a bad idea.","closed","","mcginty","2015-04-09T00:47:41Z","2015-04-09T18:19:35Z"
"","2469","Not receiving any messages while connected to mobile web","While connected to mobile web sending messages seems to be possible, but I don't see any answers. Please see the following bug report: https://gist.github.com/dfe0e0db9f0c3c7dac76","closed","","Attaqua","2015-02-13T08:16:58Z","2015-02-15T17:44:27Z"
"","3129","crash in 2.14","Whenever I try to open a conversation with one of my contacts (always the same one) and scroll up a bit I get a crash.  https://gist.github.com/c01e82308ff25e8d35e8","closed","","ghost","2015-05-08T03:41:50Z","2015-05-08T04:10:40Z"
"","3142","Thumbnails disappear when scrolling in 'All images' view","When you scroll in a certain way in the 'All images' gallery picture thumbnails at the top and bottom boundaries disappear.  Possibly related #2985   I have only encountered this today so I guess this has been introduced fairly recently (Glide issue)? 1. Open 'All images' from a conversation that has so many of your precious photos that you need to scroll to see them all 2. Scroll down and pull up before new images are fully visible (do this move gently, don't jerk like a machine) 3. Continue scrolling down to expose new precious photos 4. Alternate between steps 2 and 3 as long as you wish (or until your lifespan expires) 5. When you do this the two leftmost boundary thumbnails will disappear like tears in the rain  .gif demonstration: ![blade runner](https://cloud.githubusercontent.com/assets/174176/7548067/5b82c9ae-f604-11e4-90ff-57ab10cd7669.gif)  TS 2.14.1, stock andy 5.1, Nexus-4 model (with [artificial snake scale back skin of finest quality](https://en.wikipedia.org/wiki/Nexus_4#/media/File:LG_Nexus_4_back_glass.jpg))  Debug log: https://gist.github.com/anonymous/2a14febcb19e54f344ca  Also happens with my old 4.0.4 skin-job model (which should be retired already).","closed","","2-4601","2015-05-09T01:39:38Z","2015-06-03T18:17:49Z"
"","2899","problem with writing long messages","When writing a long message, at some point you become unable to see the conversation and scroll up. It may be my screen that is too small, though it's 4+inches so I guess a lot of people are affected","closed","ux,","ghost","2015-04-05T03:58:29Z","2015-06-05T15:58:40Z"
"","3125","Increase text input box size as message grows","When typing a message longer than a single line, TextSecure allows the user to scroll the input box left and right in order to see the whole input.  It would be nice if instead of this scrolling function the box simply gained another line as the length of the message increased. This would allow the user to always see the entire message without scrolling.   While this would take up slightly more vertical space, this would be especially useful when reviewing the message before sending (say, to make sure nothing was autocorrected incorrectly). Plus, TextSecure already increases the input area, though only to show the number of characters when they go past the 160 character mark.   Thanks.","closed","","CaviaPorcellus","2015-05-08T00:26:57Z","2015-05-08T03:16:30Z"
