"#","No","Issue Title","Issue Details","State","Labels","User name","created","Updated"
"","1227","Add type bounds to `TestTemplateInvocationContextProvider.provideTest…","…TemplateInvocationContexts`  issue https://github.com/junit-team/junit5/issues/1226  Signed-off-by: Mike Kobit   ## Overview  see issue https://github.com/junit-team/junit5/issues/1226  ---  I hereby agree to the terms of the JUnit Contributor License Agreement.  ---  ### Definition of Done  - [x] There are no TODOs left in the code - [x] Method [preconditions](http://junit.org/junit5/docs/snapshot/api/org/junit/platform/commons/util/Preconditions.html) are checked and documented in the method's Javadoc - [x] [Coding conventions](https://github.com/junit-team/junit5/blob/master/CONTRIBUTING.md#coding-conventions) (e.g. for logging) have been followed - [ ] Change is covered by [automated tests](https://github.com/junit-team/junit5/blob/master/CONTRIBUTING.md#tests) - [ ] Public API has [Javadoc](https://github.com/junit-team/junit5/blob/master/CONTRIBUTING.md#javadoc) and [`@API` annotations](http://junit.org/junit5/docs/snapshot/api/org/junit/platform/commons/meta/API.html) - [ ] Change is documented in the [User Guide](http://junit.org/junit5/docs/snapshot/user-guide/) and [Release Notes](http://junit.org/junit5/docs/snapshot/user-guide/#release-notes) - [ ] All [continuous integration builds](https://github.com/junit-team/junit5#continuous-integration-builds) pass","closed","component: Jupiter,","mkobit","2018-01-04T17:43:59Z","2018-01-13T19:27:55Z"
"","1616","closeAttemptExceptionWillBeThrownDownTheCallStack test is added","…ing AutoClosable ExtensionContext(that's all classes that extends  AbstractExtensionContext), this exception will be thrown further up the call stack.  ## Overview  Hi everyone. Just started to investigate the JUnit5 source code and decided to contribute a bit to this awesome project by covering with tests some uncovered code lines.   ---  I hereby agree to the terms of the [JUnit Contributor License Agreement](https://github.com/junit-team/junit5/blob/002a0052926ddee57cf90580fa49bc37e5a72427/CONTRIBUTING.md#junit-contributor-license-agreement).  ---  ### Definition of Done  - [x] There are no TODOs left in the code - [ ] Method [preconditions](http://junit.org/junit5/docs/snapshot/api/org/junit/platform/commons/util/Preconditions.html) are checked and documented in the method's Javadoc - [ ] [Coding conventions](https://github.com/junit-team/junit5/blob/master/CONTRIBUTING.md#coding-conventions) (e.g. for logging) have been followed - [ ] Change is covered by [automated tests](https://github.com/junit-team/junit5/blob/master/CONTRIBUTING.md#tests) including corner cases, errors, and exception handling - [ ] Public API has [Javadoc](https://github.com/junit-team/junit5/blob/master/CONTRIBUTING.md#javadoc) and [`@API` annotations](http://junit.org/junit5/docs/snapshot/api/org/junit/platform/commons/meta/API.html) - [ ] Change is documented in the [User Guide](http://junit.org/junit5/docs/snapshot/user-guide/) and [Release Notes](http://junit.org/junit5/docs/snapshot/user-guide/#release-notes) - [ ] All [continuous integration builds](https://github.com/junit-team/junit5#continuous-integration-builds) pass","closed","","terziele","2018-10-03T17:51:02Z","2018-10-20T14:56:17Z"
"","1350","issue/1338: implemented prototype of early dynamic test discovery in …","…execution phase  ## Overview  When starting execution phase for dynamic tests all dynamic tests are discovered and dynamically registered as first action.  TODO: For now when there are more tests than just one @testFactoy method, tests are discovered when execution for this @testfactory method starts  ---  I hereby agree to the terms of the [JUnit Contributor License Agreement](https://github.com/junit-team/junit5/blob/master/CONTRIBUTING.md#junit-contributor-license-agreement).  ---  ### Definition of Done  - [ ] There are no TODOs left in the code - [ ] Method [preconditions](http://junit.org/junit5/docs/snapshot/api/org/junit/platform/commons/util/Preconditions.html) are checked and documented in the method's Javadoc - [x] [Coding conventions](https://github.com/junit-team/junit5/blob/master/CONTRIBUTING.md#coding-conventions) (e.g. for logging) have been followed - [ ] Change is covered by [automated tests](https://github.com/junit-team/junit5/blob/master/CONTRIBUTING.md#tests) - [ ] Public API has [Javadoc](https://github.com/junit-team/junit5/blob/master/CONTRIBUTING.md#javadoc) and [`@API` annotations](http://junit.org/junit5/docs/snapshot/api/org/junit/platform/commons/meta/API.html) - [ ] Change is documented in the [User Guide](http://junit.org/junit5/docs/snapshot/user-guide/) and [Release Notes](http://junit.org/junit5/docs/snapshot/user-guide/#release-notes) - [ ] All [continuous integration builds](https://github.com/junit-team/junit5#continuous-integration-builds) pass","closed","","mibutec","2018-03-31T05:21:44Z","2018-04-02T15:45:27Z"
"","1538","Autocompletion script for ConsoleLauncher","Would there be interest in a bash/zsh completion script that would allow users to TAB-complete options and option parameters when invoking the `ConsoleLauncher`?  Currently the launcher is started with   ``` java -jar junit-platform-console-standalone-1.2.0.jar  ```  By using the Gradle `application` plugin, it is straightforward to generate a distribution that includes a script for running the application.   This script would become the main way to invoke the console launcher. For example:  ``` consolelauncher.sh  ```  Once we have a starter script, picocli can easily generate a [completion script](https://picocli.info/autocomplete.html) that suggests possible completion candidates for anything following `consolelauncher.sh` on the command line.  Let me know if there’s interest in doing this.","closed","status: stale,","remkop","2018-08-12T08:30:30Z","2021-06-19T12:50:05Z"
"","1273","Documentation: Chart of performance between JUnit 4 vs 5","Would be possible add a chart about the comparison about performance between JUnit 4 vs 5?","closed","status: stale,","manueljordan","2018-01-31T14:38:52Z","2021-09-20T20:43:42Z"
"","1921","Extension lifecycle diagram source","Word document used as a source to generate extensions lifecycle diagram.  Issue #1454   ---  I hereby agree to the terms of the [JUnit Contributor License Agreement](https://github.com/junit-team/junit5/blob/002a0052926ddee57cf90580fa49bc37e5a72427/CONTRIBUTING.md#junit-contributor-license-agreement).","closed","component: Jupiter,","pietrygamat","2019-06-06T16:06:09Z","2019-06-20T07:58:05Z"
"","1453","Unexpected execution order of JUnit 4 and 5 test methods","With the following test class I wanted to show, that JUnit 4 and 5 tests can be run in parallel using the JUnit platform runner.  ```java @RunWith(JUnitPlatform.class) public class SomeTest {    @BeforeClass   public static void beforeClassTest() {     System.out.println(""*** beforeClassTest ***"");   }    @org.junit.Test   public void jUnit4test() {     System.out.println(""*** jUnit4test***"");   }    @org.junit.jupiter.api.Test   public void jUnit5test() {     System.out.println(""*** jUnit5test***"");   }  } ```  Running this test class in Eclipse, I get the following output:  ``` *** jUnit5test*** *** beforeClassTest *** *** jUnit4test*** ```  I expected the method annotated with @BeforeClass to be executed at first, but this wasn't the case. Is this a bug or intentional?  This are the dependencies resolved in my project: ``` junit: 4.12 junit-platform-runner: 1.1.0 ```","closed","component: Vintage,","IrisPallida","2018-06-06T13:18:17Z","2018-06-07T05:58:08Z"
"","1166","Gradle plugin should not show stdout by default","With the built-in gradle junit 4 support, stdout from tests is not output to the screen by default. Stdout is only output to screen when info logging is enable for gradle (`-i` or `--info`).   With the `junit-platform-gradle-plugin`, all stdout from executing tests is output to the screen by default. I don't think this is the correct behavior. `junit-platform-gradle-plugin` should follow the standard gradle convention.","closed","3rd-party: Gradle,","shollander","2017-11-16T17:11:43Z","2018-03-16T14:21:01Z"
"","1634","add global resource lock","Why: Some libraries provide test modules which work by modifying private global variables inside the library (i.e. Project Reactor virtual time step verifier). When such library is used as a basis for the whole app, nearly all test are affected by this manipulation. Parallel test execution becomes inpracticable, because all methods would need to be annotated with a READ ResourceLock and the few test methods which modify the global state one of type READ_WRITE.  ## Overview  The changes are only a quick&dirty implementation to get the discussion started.   I would really like to implement the feature, if you can give me some guidance about integrating it ""correctly"" into the framework.  ---  I hereby agree to the terms of the [JUnit Contributor License Agreement](https://github.com/junit-team/junit5/blob/002a0052926ddee57cf90580fa49bc37e5a72427/CONTRIBUTING.md#junit-contributor-license-agreement).  ---  ### Definition of Done  - [ ] There are no TODOs left in the code - [ ] Method [preconditions](http://junit.org/junit5/docs/snapshot/api/org/junit/platform/commons/util/Preconditions.html) are checked and documented in the method's Javadoc - [ ] [Coding conventions](https://github.com/junit-team/junit5/blob/master/CONTRIBUTING.md#coding-conventions) (e.g. for logging) have been followed - [ ] Change is covered by [automated tests](https://github.com/junit-team/junit5/blob/master/CONTRIBUTING.md#tests) including corner cases, errors, and exception handling - [ ] Public API has [Javadoc](https://github.com/junit-team/junit5/blob/master/CONTRIBUTING.md#javadoc) and [`@API` annotations](http://junit.org/junit5/docs/snapshot/api/org/junit/platform/commons/meta/API.html) - [ ] Change is documented in the [User Guide](http://junit.org/junit5/docs/snapshot/user-guide/) and [Release Notes](http://junit.org/junit5/docs/snapshot/user-guide/#release-notes) - [ ] All [continuous integration builds](https://github.com/junit-team/junit5#continuous-integration-builds) pass","closed","component: Platform,","Danny02","2018-10-13T15:43:49Z","2019-05-01T13:35:55Z"
"","1722","Provide mechanism to reuse JUnit Jupiter extensions in other test engines","While writing an own `TestEngine` we found it quite handy to reuse JUnit Jupiter's extension mechanism along with `ExecutionCondition` to conditionally run/skip classes and methods (see mp911de/microbenchmark-runner#19 for further details).   However, some implementations (such as `DisabledCondition`) are not visible or internal API (e.g. `ExtensionRegistry`). As an implementer, there are two ways to implement extension support:  * Using internal API * Reimplementing  Neither is great, so it would be better to be able to reuse the existing bits of JUnit Jupiter's engine implementation.  ## Deliverables  - [ ] Stable implementation of `ExtensionRegistry` - [ ] Stable implementation of support classes (such as `AbstractExtensionContext` and `ExtensionUtils`)","open","component: Jupiter,","mp911de","2019-01-08T13:17:59Z","2022-06-22T17:11:56Z"
