"#","No","Issue Title","Issue Details","State","Labels","User name","created","Updated"
"","689","SOLR-13489: Stop the leader from trying to rejoin the election on ses…","…sion expiration and harden our zk reconnect code path.","closed","","markrmiller","2019-05-28T16:24:32Z","2019-06-03T16:12:58Z"
"","690","SOLR-13517: [ UX improvement ] Dashboard will now store query and filter parameters on page change a…","…s well  1) refreshing the search page wont loose query and filter parameters anymore 2) this will make the filter page url sharable and land directly with filter and query intact 3) changing between multiple tabs(on left side) wont loose the these params if you come back to the search page again 4) This is mostly helpful as dashboard users switch between multiple views while making queries, and this is irritating when the earlier parameters a lost 5) Though refreshing whole page on search page and navigating between pages wont loose the filters but navigating to other page and refreshing on that page would loose it. 6) Above can be handled if I pass the query params on every page. As of now I am storing it in rootScope and query params of search page only (to make it sharable and handle refresh)","closed","","saurav534","2019-05-29T06:36:42Z","2021-12-08T13:21:33Z"
"","1026","Buffer one record from each shard every 5000 reads to ensure connecti…","…ons don't remain idle and cause timeouts.   * SOLR-####:   LUCENE and SOLR must be fully capitalized. A short description helps people scanning pull requests for items they can work on.  Properly referencing the issue in the title ensures that Jira is correctly updated with code review comments and commits. -->   # Description  Please provide a short description of the changes you're making with this pull request.  # Solution  Please provide a short description of the approach taken to implement your solution.  # Tests  Please describe the tests you've developed or run to confirm this patch implements the feature or solves the problem.  # Checklist  Please review the following and check all that apply:  - [ ] I have reviewed the guidelines for [How to Contribute](https://wiki.apache.org/solr/HowToContribute) and my code conforms to the standards described there to the best of my ability. - [ ] I have created a Jira issue and added the issue ID to my pull request title. - [ ] I am authorized to contribute this code to the ASF and have removed any code I do not have a license to distribute. - [ ] I have given Solr maintainers [access](https://help.github.com/en/articles/allowing-changes-to-a-pull-request-branch-created-from-a-fork) to contribute to my PR branch. (optional but recommended) - [ ] I have developed this patch against the `master` branch. - [ ] I have run `ant precommit` and the appropriate test suite. - [ ] I have added tests for my changes. - [ ] I have added documentation for the [Ref Guide](https://github.com/apache/lucene-solr/tree/master/solr/solr-ref-guide) (for Solr changes only).","open","","joel-bernstein","2019-11-21T15:17:09Z","2019-11-21T15:17:09Z"
"","1029","SOLR-13101: Address flakiness of tests using async pulls and handle i…","…nterrupt properly  Summary - Addressing test flakiness from two issues:   - Tests that rely on async pulls have test scaffolding that allows a custom pulling mechanisms to be injected into mini cluster nodes and countdown CDLs on pull completions. We shouldn't instantiate a new callback object on each call to getCorePullTaskCallback.   - Interrupt exception was being swallowed and causing leaking threads   Changes - Refactored and moved the async test logic into SolrCloudSharedStoreTestCase. Only initiate the callback instance once and not per call - Don't catch InterruptedException in ZkStateReader. I opened a JIRA/PR in master for this https://github.com/apache/lucene-solr/pull/1023 but it hasn't been merged yet so including it here. We'll get it on next upgrade ideally.","closed","","andyvuong","2019-11-22T18:11:02Z","2019-12-17T00:16:47Z"
"","908","Change the file format of README files from README.txt to README.md a…","…nd standardized the files structure.   * SOLR-####:   LUCENE and SOLR must be fully capitalized. A short description helps people scanning pull requests for items they can work on.  Properly referencing the issue in the title ensures that Jira is correctly updated with code review comments and commits. -->   # Description  Please provide a short description of the changes you're making with this pull request.  # Solution  Please provide a short description of the approach taken to implement your solution.  # Tests  Please describe the tests you've developed or run to confirm this patch implements the feature or solves the problem.  # Checklist  Please review the following and check all that apply:  - [x] I have reviewed the guidelines for [How to Contribute](https://wiki.apache.org/solr/HowToContribute) and my code conforms to the standards described there to the best of my ability. - [ ] I have created a Jira issue and added the issue ID to my pull request title. - [ ] I am authorized to contribute this code to the ASF and have removed any code I do not have a license to distribute. - [x] I have given Solr maintainers [access](https://help.github.com/en/articles/allowing-changes-to-a-pull-request-branch-created-from-a-fork) to contribute to my PR branch. (optional but recommended) - [x] I have developed this patch against the `master` branch. - [ ] I have run `ant precommit` and the appropriate test suite. - [ ] I have added tests for my changes. - [ ] I have added documentation for the [Ref Guide](https://github.com/apache/lucene-solr/tree/master/solr/solr-ref-guide) (for Solr changes only).","closed","","pinkeshsharma","2019-09-29T12:08:03Z","2020-12-23T20:00:20Z"
"","862","LUCENE-8971: Enable constructing JapaneseTokenizer with custom dictio…","…nary  # Description  Extends the API of JapaneseTokenizer so it can accept a dictionary other than the built-in one. The built-in dictionary remains the default, so existing usage is unchanged; this just opens up the possibility of supplying a different dictionary/language model to use when tokenizing Japanese.","closed","","msokolov","2019-09-06T22:16:59Z","2019-09-16T17:16:10Z"
"","1028","SOLR-13101:These are pretty much non functional changes, related to S…","…HARED replica concurrent updates https://github.com/apache/lucene-solr/pull/983/commits/581f468f9914ce2488201efbed42fd43dc4b481  - Pull read lock is only required before the local indexing starts. If indexing has to pull it can acquire and release write lock without anything to do with read lock first. Removing the unneeded lock upgrade/downgrade logic to simplify things. - Added one pager explanation in the start of SharedCoreConcurrencyController around overall concurrency design. - Added mores comments around BlobCoreMetadata#generation number and its usage.","closed","","mbwaheed","2019-11-21T22:46:26Z","2019-11-22T01:35:36Z"
"","885","LUCENE-8981: update Kuromoji javadocs, adding experimental tags to Di…","…ctionaryBuilder and JapaneseTokenizer ctor","closed","","msokolov","2019-09-16T17:28:54Z","2019-09-17T11:33:10Z"
"","722","LUCENE-8863: enable loading external Kuromoji dictionary","…abling 13-bit ids  I'm sharing this without tests, for comment, while I try to get the tests running. I'm having trouble with  ```     cd ~/workspace/lucene-solr/lucene/analysis/kuromoji; ant test-tools ```  first I had to make this patch,   ```     -     +         ```  now I'm getting this error:  ``` /home/ANT.AMAZON.COM/sokolovm/workspace/lucene-solr/lucene/common-build.xml:964: Problem: failed to create task or type antlib:com.carrotsearch.junit4:pickseed Cause: The name is undefined. ```  which all makes me wonder whether test-tools has become obsolete?","closed","","msokolov","2019-06-15T19:55:46Z","2019-06-20T23:03:01Z"
"","1507","SOLR-14471: properly apply base replica ordering to last-place shards…","….preference matches","closed","","magibney","2020-05-11T19:05:00Z","2020-05-15T04:31:36Z"
"","811","LUCENE-8920: Fix bug preventing FST duplicate tails from being shared…","… when encoded as array-with-gaps While trying to reduce the size of FSTs with array-with-gap encoding, I found that I had neglected to update the comparison function in NodeHash that is used to determine when two arcs are equal, enabling shared tails to be collapsed together. That behavior wasn't tested anywhere, and relied on some internal details of the Arc encoding to short circuit the equality test when two array Arcs are different-sized.  This patch adds a function to check if arcs are packed array, and thus amenable to such an optimization, and a unit test that demonstrates the size reduction.   This fix won't address the worst-case example Adrien posted, but it addresses a common case, I think. It would be interesting to see how the ES benchmarks are impacted by this fix.","closed","","msokolov","2019-07-28T19:26:22Z","2019-07-30T12:56:17Z"
