"#","No","Issue Title","Issue Details","State","Labels","User name","created","Updated"
"","1","SOLR-8573: Implement ConnectionImpl,StatementImpl,ResultSetImpl clear…","…Warnings and getWarnings","closed","","joel-bernstein","2016-01-24T03:03:41Z","2016-01-24T03:45:02Z"
"","281","Cleaning up class casts and making sure sheilded response isn't sent …","…up the filter chain","closed","","millerjeff0","2017-12-01T23:17:17Z","2018-01-23T16:50:25Z"
"","20","SOLR-8839: Angular admin/segments display: display of deleted docs no…","…t proportional","closed","","LucVL","2016-03-14T10:40:49Z","2019-01-18T21:56:44Z"
"","271","SOLR-3191: Fixes earlier issues with the patch, namely CSVWriter and …","…streaming errors","open","","sstults","2017-11-06T18:20:11Z","2017-11-06T18:20:11Z"
"","311","SOLR-11873: Use a time based expiration cache for one off HDFS FileSy…","…stem instances in all functions.","closed","","misutoth","2018-01-24T06:04:42Z","2019-01-19T00:25:47Z"
"","200","SOLR-10654 - Expose Prometheus metrics under /admin/metrics with wt=p…","…rometheus","closed","","kelaban","2017-05-09T19:06:19Z","2019-01-18T23:45:28Z"
"","144","SOLR-10046 - Add UninvertDocValuesMergePolicyFactory and lucene/OneMe…","…rgeWrappingMergePolicy","closed","","kelaban","2017-01-26T22:07:25Z","2019-01-18T23:25:04Z"
"","173","[SOLR-10360] Remove an extra space from Hadoop distcp cmd used by Sol…","…r backup/restore","closed","","hgadre","2017-03-24T19:09:14Z","2017-05-31T18:25:57Z"
"","140","[SOLR-9997] Enable configuring SolrHttpClientBuilder via java system …","…property  - Added support to configure SolrHttpClientBuilder via java system property - Added a concrete implementation of HttpClientBuilderFactory which supports   preemptive basic authentication. - Removed the hardcoded basic auth support from SolrCLI (and verified that   it works with basic auth plugin as well as with kerberos). - Added support to log HTTP request/response for debugging authentication issues   in HadoopAuthPlugin.","closed","","hgadre","2017-01-19T05:28:50Z","2019-01-18T22:39:04Z"
"","258","SOLR-10078: Handle MatchNoDocsQuery in BooleanQuery nested in Complex…","…PhraseQuery When a BooleanQuery is nested inside a ComplexPhrase, and one of the terms returns a MatchNoDocsQuery (which was introduced in LUCENE-7337), ComplexPhraseQuery.addComplexPhraseClause throws an exception ""Unknown query type:org.apache.lucene.search.MatchNoDocsQuery""  Example: ""(john OR nosuchword*)  smith""  The fix is to handle MatchNoDocsQuery the same way as it is done in ComplexPhraseQuery.rewrite","closed","","bjarkebm","2017-10-04T09:17:35Z","2018-05-10T03:05:19Z"
"","121","[SOLR-9817] Make ""working directory"" for Solr server during startup c…","…onfigurable  - Added an environment variable ""SOLR_CONFIG_DIR"" to specify the working directory.   If this env variable is missing, then we use value of SOLR_SERVER_DIR as the default.   This allows us to maintain backwards compatibility. - Updated solr-jetty-context.xml to use the jetty.home system property (instead of jetty.base).   This is required since the jetty.base would point to SOLR_CONFIG_DIR and we need the location   specified by SOLR_SERVER_DIR variable.  Testing: Manual testing with (and without) specifying SOLR_CONFIG_DIR parameter. The server          starts properly in both cases.","closed","","hgadre","2016-11-30T17:02:51Z","2016-12-06T20:25:19Z"
