"#","No","Issue Title","Issue Details","State","Labels","User name","created","Updated"
"","4155","Adds more robust health checking / scheduling functionality to base D…","…ropwizard framework  https://github.com/dropwizard/dropwizard/issues/4154  This is a first pass at integrating the dropwizard-health functionality into the Dropwizard framework, and adapting the Bundle-based approach into a top-level `Configuration` factory (that is completely optional).  I'm expecting there to be some back and forth on this, and probably a bunch of things I may have missed. That, and I know I'm currently missing more detailed documentation around this change, but I'd like to start getting feedback on the meantime.","closed","feature,","natalie-zamani","2021-07-22T23:51:24Z","2021-07-23T16:43:35Z"
"","3576","Added DualSessionFactory component within the existing Hibernate Unit…","…OfWork framework.  ###### Problem: Modern RDBMS systems often provide read-replica clusters with separate access points. With regards to Hibernate, this requires two SessionFactory instances. One factory is for the primary/writer data source. And a separate factory is necessary for the read-replica data source. This requires the usage of the UnitOfWork name property whenever the read-replica is preferred. Ideally, no adjustments to the UnitOfWork properties should be necessary if the readOnly is properly set across endpoints.  ###### Solution: This commit provides a SessionFactory implementation that contains both a writer/primary factory and a reader factory. The DualSessionFactory comes with separate HibernateBundle, UnitOfWorkApplicationListener, and UnitOfWorkAspect classes. Prior to usage, the UnitOfWorkAspect class prepares the DualSessionFactory based on the UnitOfWork annotation readOnly property. When the dual HibernateBundle is dropped into an application, the UnitOfWork requires no changes across endpoints assuming that the readOnly property is already set accordingly.  https://github.com/dropwizard/dropwizard/issues/3542  ###### Result: This commit contains new DualSessionFactory, HibernateBundle, UnitOfWorkApplicationListener, and UnitOfWorkAspect classes.","closed","","smalleyd2","2020-11-25T19:43:11Z","2020-11-26T16:13:18Z"
"","3973","AssetServlet: Use MIME type of index file for directory requests","With this change the extension of the index file is used do determine the content type of responses of requests to directories.  Background: I have written a filter which uses a servlet extending `AssetServlet` to serve static resources at the same path level as Jersey resources (for example, it’s possible to have dynamic Jersey resources at `/someResource` while also serving static content at paths like `/`, `/robots.txt` and `/favicon.ico`). Currently the servlet replaces the `HttpServletRequest` with a [proxy](https://docs.oracle.com/en/java/javase/16/docs/api/java.base/java/lang/reflect/Proxy.html) which replaces the return value of `getRequestURI()` with the URI of the index file if the real request URI ends with `/`. This change eliminates the need for the (somewhat ugly) proxy.  If desired, I could provide the code for the filter and servlet in another pull request.","closed","improvement,","maffe","2021-05-17T21:27:03Z","2021-05-20T21:24:31Z"
"","3629","Jackson 2.9 -> 2.10 at Dropwizard 1.3.x","Will Jackson update to 2.10 for DW 1.3.x? Since jackson 2.9 branch will be closed at the end of December","closed","","vkravets","2020-12-30T08:36:09Z","2022-02-19T11:28:30Z"
"","3563","Corruption in git history causes failure during checkout with newest git client versions","While working on the [Reproducible Central](https://github.com/jvm-repo-rebuild/reproducible-central) project, I discovered an problem when checking out the dropwizard repository. Using new versions of git (2.28.0, 2.29.2), the `git clone` command will fail due to corruption in the history of the repository.  The corrupted commit is hash: 6fbf9def0293986beb2547a671f46148a5d2faf7  The clone fails like this:  ``` $ git clone https://github.com/dropwizard/dropwizard.git Cloning into 'dropwizard'... remote: Enumerating objects: 57, done. remote: Counting objects: 100% (57/57), done. remote: Compressing objects: 100% (43/43), done. error: object 6fbf9def0293986beb2547a671f46148a5d2faf7: badDate: invalid author/committer line - bad date fatal: fsck error in packed object fatal: index-pack failed ```  Here is a more in-depth discussion of the problem: https://github.com/jvm-repo-rebuild/reproducible-central/pull/39  The [dropwizard metrics](https://github.com/dropwizard/metrics.git) project has similar issues with new git clients, and the affected hashes are: ``` fb0c0fc3d8284f1e5c5173fdd664a263dfbf3592# badDate: invalid author/committer line - bad date  be018a63db4f5702d8c1af36d9bee4df4d8a5f0a# badDate: invalid author/committer line - bad date  b8f9356dad3fb39bd8bb90967197c9b611c45a77# badDate: invalid author/committer line - bad date  d31be0ecafec5adf5c34bc98f92ecc5d56e61cf3# badDate: invalid author/committer line - bad date  68ff5359bd2e093a979c288e98e0e6ab40b3623d# badDate: invalid author/committer line - bad date  81b17d2cda2ec06c3c675c5df6807cd142df3aa2# badDate: invalid author/committer line - bad date  055b302d9a90acb9a771738373cb6485e3d9c92b# badDate: invalid author/committer line - bad date  328abcea9b63c6cc1e99f7a63fb0a24c355e551e# badDate: invalid author/committer line - bad date  ca7114e92efc44a1781c16d151f7ebec3c2eb849# badDate: invalid author/committer line - bad date  1e8af33c6ec44db596d920f706fdcee4c365dd5b# badDate: invalid author/committer line - bad date  1d598ed76d2175603f814ea07c2623c4173cc912# badDate: invalid author/committer line - bad date  6b910c084d156ae6c4907a23348547391b2286af# badDate: invalid author/committer line - bad date  0719f8f927f95931122bc4a4f98496cb97ef2188# badDate: invalid author/committer line - bad date  e0415e5818449d427a738d9e6f1a73aa3fed74fc# badDate: invalid author/committer line - bad date  dc1630be1d2e8931262f3c60c78a52a8c16aaefa# badDate: invalid author/committer line - bad date  4872a751059f5263da8f1892adb10eb71bb6b596# badDate: invalid author/committer line - bad date  8d15f2876a008a06dedf5c54d50545dbea464e40# badDate: invalid author/committer line - bad date  2e2c1fe08d0c22d73013455204898834ccaec640# badDate: invalid author/committer line - bad date ``` The above hashes are taken from this related PR: https://github.com/jvm-repo-rebuild/reproducible-central/pull/38","closed","stale,","bhamail","2020-11-11T22:32:36Z","2021-10-20T00:03:08Z"
"","4423","`SocketTimeoutException` instead of `ConnectException` thrown on Windows","When executing the tests on Windows with Java 11, a `SocketTimeoutException` is thrown in a test of `dropwizard-health` instead of a `ConnectException`. However, the test completes successfully when running with Java 17 or when running the test on Linux.  Since the framework will probably support Java 11 for quite some time, the test should succeed on Windows. Therefore the test is modified to allow both exception types.","closed","","zUniQueX","2021-11-15T20:10:25Z","2022-02-28T20:15:00Z"
"","3796","Problems with custom deserializers during configuration deserialization","When defining custom configuration with custom properties, e.g: ``` import io.dropwizard.Configuration;  public class CustomConfiguration extends Configuration {      private CustomProperty customProperty;      public CustomProperty getCustomProperty() {         return customProperty;     }      public CustomConfiguration setCustomProperty(CustomProperty customProperty) {         this.customProperty = customProperty;         return this;     } } ``` and using custom deserializer for said property: ``` import com.fasterxml.jackson.databind.annotation.JsonDeserialize;  @JsonDeserialize(using = CustomDeserializer.class) public class CustomProperty  {      // doesn't matter } ``` the `JsonParser parser` passed to deserialize method has `getCodec()` as `null`: ``` import com.fasterxml.jackson.core.JsonParser; import com.fasterxml.jackson.core.TreeNode; import com.fasterxml.jackson.databind.DeserializationContext; import com.fasterxml.jackson.databind.deser.std.StdDeserializer;  import java.io.IOException;  public class CustomDeserializer extends StdDeserializer {      public CustomDeserializer() {         super(CustomProperty.class);     }      @Override     public CustomProperty deserialize(JsonParser parser, DeserializationContext context) throws IOException {           // throws exception as parser.getCodec() is null           TreeNode treeNode = parser.readValueAsTree();           // the rest doesn't matter     } } ``` This makes using custom deserializers for configuration properties quite difficult, as you would need to forward proper `ObjectCodec` to deserializer somehow and set it on parser before calling read methods.  It seems that it can be fixed by calling proper `TreeTraversingParser` constructor that accepts `ObjectCodec` in `io.dropwizard.configuration.BaseConfigurationFactory`.  It also seems that similar issue was discussed in #1991 which was closed because of inactivity.","closed","bug,","IdamkinI","2021-03-19T17:35:55Z","2021-03-21T11:10:17Z"
"","4097","DropwizardAppExtension does not cleanup database resources","When a suite of tests is torn down, the open database connections to PostgreSQL remain. Thus, when multiple suites are run from the same regression artifact, eventually the tests exceed the maximum connections configured for the PostgreSQL database.  I will attempt to look into why this is happening, but if someone has an answer/workaround already, I would appreciate it.  **Related Version Information:**  - Dropwizard: 2.0.23 - JDBI: 3.20.1 - PostgreSQL JDBC Driver: 42.2.22 - Liquibase: 4.4.0  EDIT: The idle connections not being cleaned all last executed `/* Health Check */ SELECT 1`.","closed","","isaki","2021-07-02T20:35:25Z","2021-07-03T07:14:49Z"
"","3782","Location header issue in response","We were using dropwizard version: **1.3.29** We migrated our codebase to dropwizard version: **2.0.20**, after this migration we started encountering one of the issue related to the response 'location' header as below.  We are adding the 'location' header with relative URL which converts to absolute URL before returning the actual response. Now in or local environment, it works fine because the local environment runs on 'HTTP When we deploy the same code on our test environment which runs on 'https', the response returned has the 'location' header with 'http' instead of 'https', which further leads to cross domain issue. There was no such issue with the previously used version of dropwizard.  Please suggest if we are missing something or is this the issue.","closed","stale,","harpreet86","2021-03-16T10:09:26Z","2022-02-19T11:28:37Z"
"","3633","Stop ignoring exceptions in dropwizard-logging tests","We were catching some exceptions and dumping the stack trace. It would be better to fail the tests with details of the exception.  This makes error-prone a little happier.","closed","task,","rhowe","2021-01-03T11:44:49Z","2021-01-12T11:21:51Z"
