"#","No","Issue Title","Issue Details","State","Labels","User name","created","Updated"
"","5009","Make better use of AssertJ's string matchers","Where we are using `String#format(...)` to deal with platform-specific line endings, we can instead use `isEqualToNormalizingNewlines`.  We can also replace some calls to `String#format(String...)` with AssertJ's built-in support for format strings.","closed","","rhowe","2022-03-21T08:01:53Z","2022-03-21T18:42:23Z"
"","5265","Cannot inject a custom principal into unauthenticated request","When a method in a Jersey resource has a parameter (for instance of some type `User`) annotated with `@Auth` and authentication fails, the following exception is thrown:  ``` ERROR [2022-05-02 08:34:03,534] io.dropwizard.jersey.errors.IllegalStateExceptionMapper: Error handling a request: 1fa109dc501e3397 ! java.lang.IllegalStateException: Cannot inject a custom principal into unauthenticated request ! at io.dropwizard.auth.PrincipalContainerRequestValueFactory.provide(PrincipalContainerRequestValueFactory.java:25) ! at io.dropwizard.auth.AuthValueFactoryProvider.lambda$createValueProvider$1(AuthValueFactoryProvider.java:51) ! at org.glassfish.jersey.server.spi.internal.ParamValueFactoryWithSource.apply(ParamValueFactoryWithSource.java:50) ```  While I can clearly see where this is coming from, I am not sure that it is always practical. It seems that Dropwizard requires authentication prior to injecting a principal, which is somewhat reasonable for many scenarios. For a particular application, I need a resource that also accepts anonymous (e.g. `null`) users to serve public content (whereas authenticated and authorized users see the public content plus X with X being the protected content).  As a workaround, I could append an AnonymousAuthenticator at the end of an Auth Chain and let this one create the `User` object. If Chained authentication is not necessary, a separate code path in a dedicated authenticator might also do the job (but is a dead end as soon as the application requires an additional authentication mechanism.)  So in general I can mitigate my particular problem in some ways but none of them feels 100% right. Is there a good reason why Dropwizard does not simply inject a NULL Principal if authentication cannot be performed?","closed","","matthias-mueller","2022-05-03T20:06:10Z","2022-05-05T10:04:27Z"
"","5607","Upgrade dropwizard-jdbi3 dependency to use latest jdbi3-core dependency","We use dropwizard-jdbi3 dependency of version 2.0.29 for database operations and internally it uses jdbi3-core dependency of version 3.28.0. We were facing some issue so we filed a ticket to jdbi community for fixing the issue. After investigation they found out a bug and fixed the issue in the jdbi3-core library and merged their changes to master branch. So we would like to uptake the latest changes they made in the jdbi3-core library. could you please upgrade dropwizard-jdbi3 dependency so that it uses the latest jdbi3-core (3.32.0) ? jdbi bug link : https://github.com/jdbi/jdbi/issues/2065","closed","","lohitpradhan","2022-07-27T06:08:05Z","2022-07-27T06:51:30Z"
"","4574","Can't configure the variable maxIdle of DataSourceFactory","We have encountred a problem related to the number of inactif connections that still opened and to resolve this problem we have to set the maxIdle variable in DataSourceFactory(now it is setted with the maxSize variable).","open","","abdelmouheimen","2022-01-05T15:05:36Z","2022-07-26T00:05:42Z"
"","4914","Replace dropwizard-util collection wrappers with JCL","We can use the JCL collections helpers to replace these utility classes.  Remove:  - io.dropwizard.util.Lists - io.dropwizard.util.Maps - io.dropwizard.util.Sets  This also allows us to remove dropwizard-util as a dependency of  - dropwizard-auth - dropwizard-configuration - dropwizard-json-logging - dropwizard-migrations - dropwizard-views  Remove it from dropwizard-request-logging too, as it wasn't used there.","closed","","rhowe","2022-03-07T21:06:22Z","2022-03-10T11:16:57Z"
"","4975","Simplify `Optional` handling in dropwizard-jersey","We can use `Optional#orElseThrow(Supplier)` instead of explicitly checking for `Optional#isPresent()` here.","closed","","rhowe","2022-03-12T08:51:55Z","2022-03-20T18:22:23Z"
"","4823","Make better use of AssertJ in `GzipDefaultVaryBehaviourTest`","We can use `containsEntry` here and chain the assertions.","closed","","rhowe","2022-02-25T22:58:15Z","2022-02-26T09:34:46Z"
"","5051","Remove guava from dropwizard-health","We can construct a `ThreadFactory` without Guava's help.  This also fixes a potential format string injection in the healthcheck thread name.","closed","improvement,","rhowe","2022-03-28T19:33:35Z","2022-03-29T11:47:46Z"
"","5622","Dropwizard 0.8.5: MySQL CommunicationsException","version:dropwizard-db-0.8.5  jdbcurl added autoReconnect=true  ``` com.mysql.jdbc.exceptions.jdbc4.CommunicationsException: The last packet successfully received from the server was 46,229,971 milliseconds ago.  The last packet sent successfully to the server was 46,229,971 milliseconds ago. is longer than the server configured value of 'wait_timeout'. You should consider either expiring and/or testing connection validity before use in your application, increasing the server configured values for client timeouts, or using the Connector/J connection property 'autoReconnect=true' to avoid this problem. ```","closed","","2tu","2022-07-28T08:29:56Z","2022-07-29T10:35:03Z"
"","4716","Add a test for `SslReloadTask`","Validate the behaviour of `SslReloadTask`, i.e. that it performs a dry-run of all `SslReload`ers and only performs the reload if they all succeed their dry run.  Move the dry run logic into `SslReload` in order to simplify testing.  Deprecate `SslReload#reload(SslContextFactory)` as it is no longer required","closed","improvement,","rhowe","2022-02-15T21:02:53Z","2022-02-16T17:21:54Z"
