"#","No","Issue Title","Issue Details","State","Labels","User name","created","Updated"
"","763","修改summary check","合并summary check","closed","","Airpaul","2015-03-13T01:30:55Z","2015-03-13T01:33:59Z"
"","168","Adding ANNOTATION_DEF to the valid list of parentASTs for SuppressWarningsHolder.","Without this, any @SuppressWarnings (checkstyle or not) present on an annotation definition class will fail if the Holder is added as a module.  For instance, @SuppressWarnings(""PMD.VariableNamingConventions"") public @interface PathPartUri {     //...snip... }  This will fail without the ANNOTATION_DEF TokenTypes.  [ERROR] PathPartUri.java[0:n/a] Got an exception - java.lang.NullPointerException [WARNING] PathPartUri.java[20:1] suppress.warnings.invalid.target","closed","","dominic-jones","2014-07-03T17:37:21Z","2014-07-20T13:25:45Z"
"","99","Consider checking non-javadoc comments in javadoc checks.","Within Eclipse when you override or implement a method you can inherit the java doc for the method. Eclipse will produce the following:  ``` / * (non-Javadoc) * @see junit.framework.TestCase#setUp() *  / ```  CheckStyle will flag the method as not having JavaDoc. Hava the JavaDoc check aware of inherited java doc by being aware that inherited java doc format as presented by Eclipse and supported using the java doc generation tool. James Tauber detailed the possible out comes of working with Eclipse and inherited java doc or trying to adhere to the CheckStyle java doc check. With the (non-javadoc), Eclipse will actually link and present the inherited java doc when viewing the override or implementation. http://jtauber.com/blog/2004/05/11/inheriting_doc_in_javadoc_and_eclipse/","closed","javadoc,","isopov","2014-02-07T09:26:25Z","2016-07-24T04:50:28Z"
"","837","Checkstyle reports NPE when parsing nested switch","With [this PR](https://github.com/sevntu-checkstyle/sevntu.checkstyle/commit/3f13341b98e1b36d9cb65111dbb1bd7bbb2206c7) I introduced new [input file](https://github.com/sevntu-checkstyle/sevntu.checkstyle/blob/master/sevntu-checks/src/test/resources/com/github/sevntu/checkstyle/checks/design/InputNestedSwitchCheck.java) that causes `NullPointerException` in Checkstyle when executing`launch.sh` in [checkstyle tester](https://github.com/damianszczepanik/contribution/commit/6dbea700b44e986683869c891814758061207ddb).  ``` [INFO] Generating ""Checkstyle"" report    --- maven-checkstyle-plugin:2.14 [ERROR] Exception occurred during the analysis of file checkstyle-tester\src\main\java\sevntu-checkstyle\sevntu-checks\src\test\resources\com\github\sevntu\checkstyle\checks\design\InputNestedSwitchCheck.java . java.lang.NullPointerException         at com.puppycrawl.tools.checkstyle.checks.coding.FallThroughCheck.isTerminated(FallThroughCheck.java:178)         at com.puppycrawl.tools.checkstyle.checks.coding.FallThroughCheck.checkSwitch(FallThroughCheck.java:318)         at com.puppycrawl.tools.checkstyle.checks.coding.FallThroughCheck.isTerminated(FallThroughCheck.java:197)         at com.puppycrawl.tools.checkstyle.checks.coding.FallThroughCheck.checkSlist(FallThroughCheck.java:225)         at com.puppycrawl.tools.checkstyle.checks.coding.FallThroughCheck.isTerminated(FallThroughCheck.java:187)         at com.puppycrawl.tools.checkstyle.checks.coding.FallThroughCheck.visitToken(FallThroughCheck.java:155)         at com.puppycrawl.tools.checkstyle.TreeWalker.notifyVisit(TreeWalker.java:458)         at com.puppycrawl.tools.checkstyle.TreeWalker.processIter(TreeWalker.java:551)         at com.puppycrawl.tools.checkstyle.TreeWalker.walk(TreeWalker.java:383)         at com.puppycrawl.tools.checkstyle.TreeWalker.processFiltered(TreeWalker.java:216)         at com.puppycrawl.tools.checkstyle.api.AbstractFileSetCheck.process(AbstractFileSetCheck.java:79)         at com.puppycrawl.tools.checkstyle.Checker.process(Checker.java:271)         at org.apache.maven.plugin.checkstyle.exec.DefaultCheckstyleExecutor.executeCheckstyle(DefaultCheckstyleExecutor.java:253) ```  and the snipped code that causes this problem is:  ``` java package com.github.sevntu.checkstyle.checks.design;  public class InputNestedSwitchCheck {      private int type;      public void simple() {         switch (hashCode()) {         case 1:             switch (hashCode()) { // error             case 1:             }         case 2:             switch (type) { // error             }         }     } } ```","closed","high demand,","damianszczepanik","2015-03-22T13:29:34Z","2015-05-13T16:27:21Z"
"","553","IndentationCheck do not allow to close brace on new line for complex annoations","While running Checkstyle 6.2 with default IndentationCheck configuration I get the following result:  ``` java class AnnotatedList {     @DifficultAnnotation({             @MyType(value = Boolean.class, name = ""boolean""),             @MyType(value = String.class, name = ""string"")     }) // '}' have incorrect indentation level 4, expected level should be 8     List list = Arrays.asList(new String[]{         ""boolean"",         ""string""     }); // OK } ```  Here is the workaround, but I doesn't look good for me:  ``` java class AnnotatedList {     @DifficultAnnotation({             @MyType(value = Boolean.class, name = ""boolean""),             @MyType(value = String.class, name = ""string"")         }) // Now it is OK     List list = Arrays.asList(new String[]{         ""boolean"",         ""string""     }); // OK } ``` ##","closed","indentation,","mkordas","2014-12-29T19:01:25Z","2018-11-16T18:07:24Z"
"","893","Add check to prohibit Windows line endings","While `RegexpMultiline` can do this it is not discoverable by users:  ``` xml             ``` ##","open","new module,","gaul","2015-03-31T20:52:20Z","2020-11-12T10:06:04Z"
"","296","Checkstyle 5.8: IndexOutOfBoundsException in CustomImportOrderCheck","When using the new google_checks.xml configuration I get IndexOutOfBoundsException on each checked file:  java.lang.IndexOutOfBoundsException: Index: 5, Size: 5 Thread [Worker-10](Suspended %28exception IndexOutOfBoundsException%29)       ArrayList.rangeCheck(int) line: 635       ArrayList.get(int) line: 411      CustomImportOrderCheck.getNextImportGroup(int) line: 374       CustomImportOrderCheck.finishTree(DetailAST) line: 307       TreeWalker.notifyEnd(DetailAST) line: 362       TreeWalker.walk(DetailAST, FileContents) line: 338       TreeWalker.processFiltered(File, List) line: 188       TreeWalker(AbstractFileSetCheck).process(File, List) line: 73       Checker.process(List) line: 263       Auditor.runAudit(IProject, IProgressMonitor) line: 159       CheckstyleBuilder.handleBuildSelection(Collection, IProjectConfiguration, IProgressMonitor, IProject, int) line: 300      CheckstyleBuilder.build(int, Map, IProgressMonitor) line: 171       BuildManager$2.run() line: 734       SafeRunner.run(ISafeRunnable) line: 42       BuildManager.basicBuild(int, IncrementalProjectBuilder, Map, MultiStatus, IProgressMonitor) line: 206       BuildManager.basicBuild(IBuildConfiguration, int, IBuildContext, ICommand[], MultiStatus, IProgressMonitor) line: 246       BuildManager$1.run() line: 299       SafeRunner.run(ISafeRunnable) line: 42       BuildManager.basicBuild(IBuildConfiguration, int, IBuildContext, MultiStatus, IProgressMonitor) line: 302       BuildManager.basicBuildLoop(IBuildConfiguration[], IBuildConfiguration[], int, MultiStatus, IProgressMonitor) line: 358      BuildManager.build(IBuildConfiguration[], IBuildConfiguration[], int, IProgressMonitor) line: 381       AutoBuildJob.doBuild(IProgressMonitor) line: 143       AutoBuildJob.run(IProgressMonitor) line: 241       Worker.run() line: 54","closed","","lkoe","2014-10-13T13:58:33Z","2014-10-14T16:42:08Z"
"","536","TreeWalker bug in eclipse on Mac OS X","When using Eclipse on a Mac OS X machine, whenever I run checkstyle I get an error in each class on the package line that says ""TreeWalker: Got an exception - java.lang.NullPointerException."" As a student, I'm not the only Mac user I know who's getting this same issue. I'm currently running checkstyle  6.1.1.201412161501.","closed","incomplete,","dburkha1","2014-12-24T07:45:33Z","2015-01-05T22:32:38Z"
"","950","Non-standard locations in tree for DetailAST items","When traversing the DetailAST tree to build a custom checker, I notice some of the same types are found in different areas, either as a child or as a sibling. One example is ""return"" has "";"" as a child while an expression has "";"" as a sibling. It is making traversing the tree and finding items a little bit more tricky than it is needed. It would be much easier if they were to be found in the same location.   I am using checkstyle 6.5 and extending the ""Check"" class and getting the DetailAST from the ""visitToken"" method. Here is an example I am seeing. Code:  ``` // line 9     if (a == 1) return; // line 15     if (a == 2)         b = 3; ```  produces the following DetailAST tree:  ``` Type ""if"" (83) Line 9     Type ""("" (76) Line 9     Type ""EXPR"" (28) Line 9         Type ""=="" (116) Line 9             Type ""a"" (58) Line 9             Type ""1"" (137) Line 9     Type "")"" (77) Line 9     Type ""return"" (88) Line 9         Type "";"" (45) Line 9 //","open","antlr,","rnveach","2015-04-19T23:13:56Z","2021-12-22T04:50:58Z"
"","708","Check.suppressForClasses as alternative to suppressions","When somebody tries to introduce Checkstyle to project he sees thousands of violations. Current approach is to create/generate suppressions XML document that contains a set of suppress elements. Cons: creating it manually is painful. Generation from source code is not yet implemented. Suppression on line level is not ""stable"" because adding a line into the source file will brake suppressions.  Suggested approach: The natural way is when person goes through the vilotations and adds ""suppression"" for the rule. CodeNarc has doNotApplyToClassNames property for each rule  https://github.com/groovy/groovy-core/blob/master/config/codenarc/codenarc.groovy We can introduce suppressForClasses property for each Check that works with classes. Field format should be natural for developer: simple class name, canonical calss name, package name with .\* at the end (e.g. com.mycompany.dao.*)","closed","discussion ongoing,","ychulovskyy","2015-03-02T16:22:29Z","2015-03-10T07:12:21Z"
"","598","HiddenField module can now accept setterCanReturnItsClass attribute;","When set to true it means that setter methods can return either instance of the class in which they are declared or void, which is different from current behaviour where setters must return void.","closed","","priimak","2015-01-26T08:15:17Z","2015-01-27T01:11:16Z"
"","160","Checkstyle maven plugin - using 'excludes' causes problem in surefire plugin","When I use 'excludes' in checkstyle maven plugin, the surefire starts complainig:  [ERROR] Failed to execute goal org.apache.maven.plugins:maven-surefire-plugin:2.5:test (default-test) on project address-i18n-bundle: Unable to parse configuration of mojo org.apache.maven.plugins:maven-surefire-plugin:2.5:test for parameter excludes: Cannot assign configuration entry 'excludes' with value 'MyFile.java,MyFile2.java' of type java.lang.String to property of type java.util.List -> [Help 1]","closed","","jakubneubauer","2014-06-26T09:47:13Z","2014-06-27T17:14:56Z"
