"#","No","Issue Title","Issue Details","State","Labels","User name","created","Updated"
"","7899","Issue #5969: Respect and expect tab width in column number check for lambda indentations","…lambda indentations  Fixes #5969 and closes #7675   I just hope to live a happy life of Minecraft modding. Thank you for this great checkstyle! https://github.com/FabricMC/fabric/pull/518/files#diff-23a850fe9b00699c6f6cd295e8ef341d","closed","","liach","2020-03-19T05:11:48Z","2020-03-27T06:55:45Z"
"","7830","config: disable in linkcheck validation of links to maven.apache.org …","…due to very frequent failures  example https://app.codeship.com/projects/124310/builds/da7ec1ec-2a72-492d-bbdf-a63c95bd8732?line=d7533835-36e5-4951-a803-14c403c32bd5&step=parallel_.ci%2Frun-link-check-plugin.sh  ``` 2020-03-11 13:48:26  system ------------ grep of linkcheck.html--BEGIN 2020-03-11 13:48:26  system https://maven.apache.org/plugins/maven-dependency-plugin/: java.net.SocketTimeoutException : Read timed out 2020-03-11 13:48:26  system https://maven.apache.org/plugins/maven-javadoc-plugin/: java.net.SocketTimeoutException : Read timed out 2020-03-11 13:48:26  system https://img.shields.io/bountysource/team/checkstyle/activity.svg?label=salt.bountysource: java.net.SocketTimeoutException : Read timed out 2020-03-11 13:48:26  system https://maven.apache.org/enforcer/maven-enforcer-plugin/: org.apache.commons.httpclient.ConnectTimeoutException : The host did not accept the connection within timeout of 6000 ms 2020-03-11 13:48:26  system https://maven.apache.org/plugins/maven-javadoc-plugin/: java.net.SocketTimeoutException : Read timed out 2020-03-11 13:48:26  system ------------ grep of linkcheck.html--END 2020-03-11 13:48:26  system Exit code:1 ```","closed","","romani","2020-03-11T14:39:07Z","2020-03-11T22:39:32Z"
"","7767","move WriteTag Check to list of javadoc Check in XpathSuppressionFilter documentation","~Child of https://github.com/checkstyle/checkstyle/issues/5777~  This issue specifically focuses on WriteTag.","closed","gsoc second issue,","rnveach","2020-03-01T16:40:08Z","2020-04-13T11:07:15Z"
"","7376","config: registering missed coverage till #7375","workaround for #7375","closed","","romani","2019-12-12T16:30:21Z","2019-12-12T16:56:52Z"
"","7042","ConstantNameCheck default pattern","With following checks.xml:  ```                      ```  ... in my Java code:  `private static int TIME_TO_LIVE_IN_SECONDS = 10;`  I get the following warning:  > Name 'TIME_TO_LIVE_IN_SECONDS' must match pattern '^[a-z][a-zA-Z0-9]*$'.  But documentation says default pattern should be: ""^[A-Z][A-Z0-9]*(_[A-Z0-9]+)*$"" See https://checkstyle.org/config_naming.html#ConstantName  Checkstyle version used: 8.23","closed","","jeankst","2019-09-04T12:40:07Z","2019-09-04T12:58:05Z"
"","7287","Regression: LineLength is no longer supported by SuppressionCommentFilter.","With checkstyle 8.23 it was possible to suppress the LineLength check using the SuppressionCommentFilter ``` $ cat Test.java  class Test {     // CHECKSTYLE.OFF: LineLength     public String veryLongLine = ""This is line of more than 50 characters.""; } $ javac -version javac 1.8.0_222 $ javac Test.java  $ cat config-8.23.xml                                                              $ RUN_LOCALE=""-Duser.language=en -Duser.country=US"" $ java $RUN_LOCALE -jar checkstyle-8.23-all.jar -c config-8.23.xml Test.java  Starting audit... Audit done. $  ```  In Checkstyle 8.24 the LineLength check was moved outside the TreeWalker and since that version the check can no longer be disabled using a comment.  So if I try the exact same thing in Checkstyle 8.26 I get this instead: ``` $ cat Test.java  class Test {     // CHECKSTYLE.OFF: LineLength     public String veryLongLine = ""This is line of more than 50 characters.""; } $ javac -version javac 1.8.0_222 $ javac Test.java  $ cat config-8.26.xml                                                         $ RUN_LOCALE=""-Duser.language=en -Duser.country=US"" $ java $RUN_LOCALE -jar checkstyle-8.26-all.jar -c config-8.26.xml Test.java  Starting audit... [ERROR] /home/nbasjes/workspace/Prive/BugReports/checkstyle-linelength/Test.java:3: Line is longer than 50 characters (found 76). [LineLength] Audit done. Checkstyle ends with 1 errors. ``` That last error should have been suppressed.  ---------------  I suspect that because the SuppressionCommentFilter is still inside the TreeWalker and the LineLength is no longer in there the filtering has been broken.  I expect a feature that still allows me to disable the LineLength check at a line level using the SuppressionCommentFilter (or something similar).","closed","","nielsbasjes","2019-11-28T14:38:41Z","2019-11-28T15:29:18Z"
"","7038","FinalLocalVariable to work with lombok","When using lombok there is simpler way to write final variables, so instead of  ```java final String foo = ""bar""; ```  We can write  ```java val foo = ""bar""; ```  Both expressions will compile to the same code, so `FinalLocalVariable` should not flag the ""lombok way"" as an error as it is a `final` variable.","closed","","bbonanno","2019-09-02T12:49:25Z","2019-09-02T16:07:08Z"
"","7549","Add option for line wrapping of method definition in Indentation module","When I have the indentation module enabled with basicOffset = 4 and lineWrappingIndentation = 8, I'd like to have this code:  ``` class Foo {     private static VeryLongType     methodName(VeryLongType parameter,             VeryLongType parameter2) {         return parameter                 .method();     } } ```  rather than  ``` class Foo {     private static VeryLongType             methodName(VeryLongType parameter,             VeryLongType parameter2) {         return parameter                 .method();     } } ``` ---------------  I'd like to have the option to configure the line wrapping indentation for field definitions separate from the line wrapping indentation for statements.  The reason for wanting this is that the method name should not align with the parameters if the parameters need to be line wrapped. Since method definitions are always at the top level, and on their own in the code, they don't need continuation indents to separate them from the next method.  --------------","open","indentation,","marquiswang","2020-02-14T16:11:44Z","2020-02-14T16:16:52Z"
"","7121","Issue #3551, a complete implementation, fixing #6680 and #7119","What has been done:  1. Issue #6680 was fixed, robustly. 2. Issue #7119 was fixed. 3. Slightly changed behavior about how to detect empty lines.  Now take comments between imports or import groups into account.","closed","awaiting changes,","gmshake","2019-09-29T11:48:17Z","2019-10-18T15:16:33Z"
"","7246","Config in yaml/json format?","What do you think about adding additional config formats, e.g Yaml ``` modules:   NeedBracesCheck:      id : testCheck      severity : ERROR ``` Json ``` {   ""modules"": [     ""NeedBracesCheck"": {        ""id"" : ""testCheck"",        ""severity"" : ""ERROR""      }   ] } ``` ?","closed","","strkkk","2019-11-09T17:32:10Z","2019-12-08T15:06:53Z"
"","7881","Issue #7605: Update examples for SingleLineJavadoc check","Website generated:  ![Screenshot (11)](https://user-images.githubusercontent.com/51456744/76866146-b681f580-6889-11ea-8c4d-6454bdc02cfb.png) ![Screenshot (12)](https://user-images.githubusercontent.com/51456744/76866157-baae1300-6889-11ea-9562-28bfd0f60305.png) ![Screenshot (13)](https://user-images.githubusercontent.com/51456744/76866166-be419a00-6889-11ea-9c54-ea542dadaff5.png)   1.) The output of default example: config.xml ```               ```  Test.java ``` public class Test {   /**@return integer value*/   public int sum(int a, int b) {     return a + b;   } } ``` ``` C:\Users\hp\Desktop>java -jar ../Downloads/checkstyle-8.29-all.jar -c config.xml Test.java Starting audit... [ERROR] C:\Users\hp\Desktop\Test.java:2: Single-line Javadoc comment should be multi-line. [SingleLineJavadoc] Audit done. Checkstyle ends with 1 errors. ```  2.) Output of non-default example for violateExecutionOnNonTightHtml config.xml ```                         ```  Test.java ``` public class Test {   /**    *@return integer value    * First    */   public int sum(int a, int b) {     return a + b;   } } //Prints violation for unclosed HTML tag. ``` ``` C:\Users\hp\Desktop>java -jar ../Downloads/checkstyle-8.29-all.jar -c config.xml Test.java Starting audit... [ERROR] C:\Users\hp\Desktop\Test.java:4: Unclosed HTML tag found: p [SingleLineJavadoc] Audit done. Checkstyle ends with 1 errors. ```  3.) Output for non-default example for ignoredTags and ignoredInlineTags config.xml ```                               ``` Test.java ``` public class Test {   /** @see #sum(int a, int b) */   public int sum(int a, int b) {     return a + b;   } } ``` ``` C:\Users\hp\Desktop>java -jar ../Downloads/checkstyle-8.29-all.jar -c config.xml Test.java Starting audit... Audit done. ``` Test.java ``` public class Test {   /** Testing class for {@link Example} */   public int sum(int a, int b) {     return a + b;   } } ``` ``` C:\Users\hp\Desktop>java -jar ../Downloads/checkstyle-8.29-all.jar -c config.xml Test.java Starting audit... [ERROR] C:\Users\hp\Desktop\Test.java:2: Single-line Javadoc comment should be multi-line. [SingleLineJavadoc] Audit done. Checkstyle ends with 1 errors. ``` ```","closed","","ritvij14","2020-03-17T14:42:35Z","2020-03-20T13:27:29Z"
"","7809","Incorrect lambda indentation","We're using double indentation for wrapping function calls, however lambdas seem to have some issue with it.  ```         return dsl.select(...)             .from(...)             .where(...)             .fetch()             .stream()             .filter(...)             .collect(                     Collectors.groupingBy(                             record -> converter.apply(record.get(getItemField())),                             Collectors.toMap(...))); ``` Flags ``` [WARNING] :[] (indentation) Indentation: 'lambda arguments' has incorrect indentation level 28, expected level should be 24. ``` This only happens with lambdas.  Using the default configuration, ie. ``.","closed","indentation,","joca-bt","2020-03-09T09:31:03Z","2020-10-04T16:13:21Z"
"","7498","Generation and publishing regression diff report base on config in PR description","We need to remove from contributor responsibility generation of diff reports.","closed","miscellaneous,","romani","2020-01-21T00:40:19Z","2020-07-14T16:02:01Z"
