"#","No","Issue Title","Issue Details","State","Labels","User name","created","Updated"
"","4550","HADOOP-18074 - Partial/Incomplete groups list can be returned in LDAP…","…… (#4503)    ### Description of PR  Description of PR LdapGroupsMapping could return a partial list of group names due to encountering a NamingException while acquiring the RDN for a DN. This was due to not clearing the partially built list which results in the secondary query not being attempted. This PR clears the partially built list and forces the secondary query to be called.  How was this patch tested? Existing unit tests were run and a new unit test added to insure that the secondary query is indeed being called.  ### For code changes:  - [x] Does the title or this PR starts with the corresponding JIRA issue id (e.g. 'HADOOP-17799. Your PR title ...')? - [ ] Object storage: have the integration tests been executed and the endpoint declared according to the connector-specific documentation? - [ ] If adding new dependencies to the code, are these dependencies licensed in a way that is compatible for inclusion under [ASF 2.0](http://www.apache.org/legal/resolved.html#category-a)? - [ ] If applicable, have you updated the `LICENSE`, `LICENSE-binary`, `NOTICE-binary` files?","closed","","lmccay","2022-07-11T20:28:54Z","2022-07-14T12:54:15Z"
"","4347","HDFS-16586. Purge FsDatasetAsyncDiskService threadgroup; it causes BP…","…… (#4338)  * HDFS-16586. Purge FsDatasetAsyncDiskService threadgroup; it causes BPServiceActor IllegalThreadStateException 'fatal exception and exit'     ### Description of PR  Remove the ThreadGroup used by executor factories; they are unused and ThreadGroups auto-destroy when their Thread-member count goes to zero. This behavior is incompatible with the configuration we have on the per-volume executor which is set to let all threads die if no use inside the keepalive time.  Signed-off-by: Hexiaoqiao   Backport to branch-3.3.  ### How was this patch tested?  By running a downstream test that was failing when this PR was not in place.  ### For code changes:  - [ ] Does the title or this PR starts with the corresponding JIRA issue id (e.g. 'HADOOP-17799. Your PR title ...')? - [ ] Object storage: have the integration tests been executed and the endpoint declared according to the connector-specific documentation? - [ ] If adding new dependencies to the code, are these dependencies licensed in a way that is compatible for inclusion under [ASF 2.0](http://www.apache.org/legal/resolved.html#category-a)? - [ ] If applicable, have you updated the `LICENSE`, `LICENSE-binary`, `NOTICE-binary` files?","closed","","saintstack","2022-05-23T15:56:57Z","2022-05-26T00:02:28Z"
"","4105","YARN-11088. Introduce the config to control the AM allocated to non-e…","…xclusive nodes    ### Description of PR   ### How was this patch tested?   ### For code changes:  - [ ] Does the title or this PR starts with the corresponding JIRA issue id (e.g. 'HADOOP-17799. Your PR title ...')? - [ ] Object storage: have the integration tests been executed and the endpoint declared according to the connector-specific documentation? - [ ] If adding new dependencies to the code, are these dependencies licensed in a way that is compatible for inclusion under [ASF 2.0](http://www.apache.org/legal/resolved.html#category-a)? - [ ] If applicable, have you updated the `LICENSE`, `LICENSE-binary`, `NOTICE-binary` files?","closed","","zuston","2022-03-24T14:35:06Z","2022-03-31T11:55:59Z"
"","4663","HDFS-16699: RBF: Update Observer NameNode state to Active when failover","…ver because of sockeTimeOut Exception    ### Description of PR   ### How was this patch tested?   ### For code changes:  - [ ] Does the title or this PR starts with the corresponding JIRA issue id (e.g. 'HADOOP-17799. Your PR title ...')? - [ ] Object storage: have the integration tests been executed and the endpoint declared according to the connector-specific documentation? - [ ] If adding new dependencies to the code, are these dependencies licensed in a way that is compatible for inclusion under [ASF 2.0](http://www.apache.org/legal/resolved.html#category-a)? - [ ] If applicable, have you updated the `LICENSE`, `LICENSE-binary`, `NOTICE-binary` files?","open","","SanQiMax","2022-07-31T03:46:41Z","2022-08-02T16:22:10Z"
"","3773","YARN-11014. YARN incorrectly validates maximum capacity resources on …","…the validation API. Contributed by Benjamin Teke    ### Description of PR   ### How was this patch tested?   ### For code changes:  - [ ] Does the title or this PR starts with the corresponding JIRA issue id (e.g. 'HADOOP-17799. Your PR title ...')? - [ ] Object storage: have the integration tests been executed and the endpoint declared according to the connector-specific documentation? - [ ] If adding new dependencies to the code, are these dependencies licensed in a way that is compatible for inclusion under [ASF 2.0](http://www.apache.org/legal/resolved.html#category-a)? - [ ] If applicable, have you updated the `LICENSE`, `LICENSE-binary`, `NOTICE-binary` files?","closed","","brumi1024","2021-12-08T17:47:44Z","2022-03-02T13:23:35Z"
"","3772","YARN-11014. YARN incorrectly validates maximum capacity resources on …","…the validation API. Contributed by Benjamin Teke    ### Description of PR   ### How was this patch tested?   ### For code changes:  - [ ] Does the title or this PR starts with the corresponding JIRA issue id (e.g. 'HADOOP-17799. Your PR title ...')? - [ ] Object storage: have the integration tests been executed and the endpoint declared according to the connector-specific documentation? - [ ] If adding new dependencies to the code, are these dependencies licensed in a way that is compatible for inclusion under [ASF 2.0](http://www.apache.org/legal/resolved.html#category-a)? - [ ] If applicable, have you updated the `LICENSE`, `LICENSE-binary`, `NOTICE-binary` files?","closed","","brumi1024","2021-12-08T17:45:31Z","2022-03-02T13:22:08Z"
"","3715","YARN-11014. YARN incorrectly validates maximum capacity resources on …","…the validation API    ### Description of PR   ### How was this patch tested?   ### For code changes:  - [ ] Does the title or this PR starts with the corresponding JIRA issue id (e.g. 'HADOOP-17799. Your PR title ...')? - [ ] Object storage: have the integration tests been executed and the endpoint declared according to the connector-specific documentation? - [ ] If adding new dependencies to the code, are these dependencies licensed in a way that is compatible for inclusion under [ASF 2.0](http://www.apache.org/legal/resolved.html#category-a)? - [ ] If applicable, have you updated the `LICENSE`, `LICENSE-binary`, `NOTICE-binary` files?","closed","","brumi1024","2021-11-23T15:55:47Z","2021-12-07T07:44:42Z"
"","3734","YARN-11020. [UI2] No container is found for an application attempt with a single AM container","…th a single AM container    ### Description of PR   ### How was this patch tested?   ### For code changes:  - [ ] Does the title or this PR starts with the corresponding JIRA issue id (e.g. 'HADOOP-17799. Your PR title ...')? - [ ] Object storage: have the integration tests been executed and the endpoint declared according to the connector-specific documentation? - [ ] If adding new dependencies to the code, are these dependencies licensed in a way that is compatible for inclusion under [ASF 2.0](http://www.apache.org/legal/resolved.html#category-a)? - [ ] If applicable, have you updated the `LICENSE`, `LICENSE-binary`, `NOTICE-binary` files?","closed","","9uapaw","2021-11-29T10:31:09Z","2021-12-07T07:51:57Z"
"","4427","HADOOP-18106: Handle memory fragmentation in S3A Vectored IO","…tation.  part of HADOOP-18103. Handling memoroy fragmentation in S3A vectored IO implementation by allocating smaller user range requested size buffers and directly filling them from the remote S3 stream and skipping undesired data in between ranges. This patch also adds aborting active vectored reads when stream is closed or unbuffer is called.    ### Description of PR   ### How was this patch tested? Added new tests, ran all existing tests.  ### For code changes:  - [x] Does the title or this PR starts with the corresponding JIRA issue id (e.g. 'HADOOP-17799. Your PR title ...')? - [x] Object storage: have the integration tests been executed and the endpoint declared according to the connector-specific documentation? - [ ] If adding new dependencies to the code, are these dependencies licensed in a way that is compatible for inclusion under [ASF 2.0](http://www.apache.org/legal/resolved.html#category-a)? - [ ] If applicable, have you updated the `LICENSE`, `LICENSE-binary`, `NOTICE-binary` files?","closed","","mukund-thakur","2022-06-10T21:04:21Z","2022-07-11T18:23:33Z"
"","3785","YARN-11042. Fix testQueueSubmitWithACLsEnabledWithQueueMapping in Tes…","…tAppManager  Change-Id: I8ba1586d38610e6f737b3cb3a26a222f62889950    ### Description of PR   ### How was this patch tested?   ### For code changes:  - [ ] Does the title or this PR starts with the corresponding JIRA issue id (e.g. 'HADOOP-17799. Your PR title ...')? - [ ] Object storage: have the integration tests been executed and the endpoint declared according to the connector-specific documentation? - [ ] If adding new dependencies to the code, are these dependencies licensed in a way that is compatible for inclusion under [ASF 2.0](http://www.apache.org/legal/resolved.html#category-a)? - [ ] If applicable, have you updated the `LICENSE`, `LICENSE-binary`, `NOTICE-binary` files?","closed","","tomicooler","2021-12-10T12:52:56Z","2022-03-02T15:20:02Z"
