"#","No","Issue Title","Issue Details","State","Labels","User name","created","Updated"
"","5326","[py] reduce the default script timeout in executing_async_javascript_…","…tests.py  When using w3c driver, the default script timeout is 30 seconds, so tests expecting to timeout and not overriding the script timeout take 30 seconds to run. Setting it to 0 makes the tests a lot faster. Then, it's reset to the default value once tests finish.  - [X] By placing an `X` in the preceding checkbox, I verify that I have signed the [Contributor License Agreement](https://github.com/SeleniumHQ/selenium/blob/master/CONTRIBUTING.md#step-6-sign-the-cla)","closed","","carlosgcampos","2018-01-11T13:30:57Z","2018-01-12T06:25:42Z"
"","5465","It should be possible to use a custom safaridriver executable to run …","…Selenium's test suite.  Add the 'use_existing' argument to the safari.WebDriver class initializer. This argument causes the driver to not launch its own instance of safaridriver. Instead, it connects via port to an externally-launched service. This can speed up testing and is also useful when debugging problems with safaridriver itself.  This patch also improves wording in documentation of the initializer's arguments.  - [X] By placing an `X` in the preceding checkbox, I verify that I have signed the [Contributor License Agreement](https://github.com/SeleniumHQ/selenium/blob/master/CONTRIBUTING.md#step-6-sign-the-cla)","closed","C-py,","burg","2018-02-08T19:20:04Z","2018-02-12T15:47:46Z"
"","5466","safaridriver: add new command to change getUserMedia() behavior for m…","…ock devices  As part of this feature, we introduce new endpoints to get and set session permissions. For example, it can control whether a getUserMedia() request for a mock media stream will be allowed or denied.  Since this is the first Safari-specific endpoint, add a custom RemoteConnection subclass so that extra commands can be added in. Hook it up in the subclass of WebDriver.  This adds two commands:  driver.get_permission(permission_name) -> True, False, None driver.set_permission(permission_name, True | False)  For convenience, supported values of permission_name are enumerated by the Permission object.  These commands map, respectively, to the following endpoints and request/response payloads:  GET /session/$sessionId/apple/permissions  Request payload: None  Response payload: {     ""permissions"": {         ""getUserMedia"": true,         ...     } }  Notes: values for all session permissions are returned, whether or not they have previously been set.  --  POST /session/$sessionId/apple/permissions  Request payload: {     ""permissions"": [         ""getUserMedia"": true,         ...     ] }  Response payload: None  Notes: can update multiple session permissions simultaneously. Any omitted permission names are unaffected.  - [X] By placing an `X` in the preceding checkbox, I verify that I have signed the [Contributor License Agreement](https://github.com/SeleniumHQ/selenium/blob/master/CONTRIBUTING.md#step-6-sign-the-cla)","closed","C-py,","burg","2018-02-08T19:50:50Z","2018-02-09T06:39:43Z"
"","5561","[py] make tests to check clicking on disabled element work for w3c co…","…mpliant drivers  They are currently mrked as expected failure, but we can actually test both behaviors. Check that selection doesn't change for w3c drivers.  - [X] By placing an `X` in the preceding checkbox, I verify that I have signed the [Contributor License Agreement](https://github.com/SeleniumHQ/selenium/blob/master/CONTRIBUTING.md#step-6-sign-the-cla)","closed","","carlosgcampos","2018-03-02T11:19:54Z","2018-03-02T16:53:46Z"
"","5739","Improve the error message that is raised when safaridriver cannot be …","…found.  Add a link to the Safari download page where Safari and Tech Preview are available.  - [X] By placing an `X` in the preceding checkbox, I verify that I have signed the [Contributor License Agreement](https://github.com/SeleniumHQ/selenium/blob/master/CONTRIBUTING.md#step-6-sign-the-cla)","closed","","burg","2018-04-07T18:27:52Z","2018-04-08T00:02:35Z"
"","5685","Provide way to change interval between evaluating conditions driver.w…","…ait (logs overflowing)  I don't know the reason why it is implemented this way but it doesn't seem reasonable that conditions are checked in driver.wait immediately one after another until it success or timeout. This implementation cause overflowing logs like this: (example where condition is fulfilled after 2 sec, it produces 200 lines of logs - i didn't count but a lot) https://www.youtube.com/watch?v=S-xYB7YIDgE Implementing extra parameter (easiest and backward compatible solution) like I suggest would change  situation to this: (when using 300 ms interval in suggested parameter) https://youtu.be/xURuynUmnHo  If this pull request wan't be accepted (I wan't be surprised) at least explain me please how to live with this:   Cheers Btw doc for this repo is brilliant (I know that it is generated but anyway ;) )  - [x] By placing an `X` in the preceding checkbox, I verify that I have signed the [Contributor License Agreement](https://github.com/SeleniumHQ/selenium/blob/master/CONTRIBUTING.md#step-6-sign-the-cla)   --- This change is [](https://reviewable.io/reviews/seleniumhq/selenium/5685)","closed","C-nodejs,","stopsopa","2018-03-27T00:13:55Z","2021-02-13T01:57:08Z"
"","5416","[py] correctly handle additional data in unexpected alter error for w…","…3c drivers  The WebDriver spec defines an optional ""data"" field for error objects and annotated unexpected alert open error which includes a ""text"" field in the error additional data object.  https://w3c.github.io/webdriver/webdriver-spec.html#dfn-error-data https://w3c.github.io/webdriver/webdriver-spec.html#dfn-user-prompt-handler  - [X] By placing an `X` in the preceding checkbox, I verify that I have signed the [Contributor License Agreement](https://github.com/SeleniumHQ/selenium/blob/master/CONTRIBUTING.md#step-6-sign-the-cla)","closed","","carlosgcampos","2018-01-31T14:18:09Z","2018-02-02T08:23:56Z"
"","5713","allow edge driver to create a default service in createSession method…","… if `service` is `null`  - [x] By placing an `X` in the preceding checkbox, I verify that I have signed the [Contributor License Agreement](https://github.com/SeleniumHQ/selenium/blob/master/CONTRIBUTING.md#step-6-sign-the-cla)   --- This change is [](https://reviewable.io/reviews/seleniumhq/selenium/5713)","closed","C-nodejs,","pz325","2018-03-31T18:23:43Z","2021-02-13T21:34:36Z"
"","5552","Unable to take screenshot in Selenium 3.9.1 because of FileUtils","Written this code for ScreenShot but facing issue for FileUtils please provide solution or alternate way to take screenshot   public void getscreenshot() throws Exception        {               File scrFile = ((TakesScreenshot)driver).getScreenshotAs(OutputType.FILE);                          FileUtils.copyFile(scrFile, new File(""D:\\screenshot.png""));       }","closed","R-awaiting answer,","AshishCircl","2018-03-01T10:21:19Z","2019-08-16T06:09:58Z"
"","5638","Chromedriver couldn't find the Android file using valid file path","Working with Samsung S6, during uploading a file using SendKeys(), it always reports 'file not found' issues. But i can confirm the file exits.  Have tried driver.FindElement(By.Id(""0-new"")).SendKeys(""//storage/emulated/0/Download/automation_test.pdf""); driver.FindElement(By.Id(""0-new"")).SendKeys(""//data/local/tmp/automation_test.pdf""); driver.FindElement(By.Id(""0-new"")).SendKeys(""//sdcard/Download/automation_test.pdf"");  All of above doesn't work, although file exists in these folders.  This issue occurs ChromeDriver 2.33-2.36, but 2.20 doesn't have this problem (didn't try with other versiosn). So I guess it should be chromedriver issue.  Anyone can help check, and provide a solution?","closed","","jackingest","2018-03-19T07:25:36Z","2019-08-16T09:09:59Z"
"","5452","Make annoying debug console user aware","With this commit user can now choice wheter the debug command prompt can or not show it up when driver is loaded. This happens when python script are compiled into one-file exe. With this commit merged, the user can easily disable the cmd prompt in this way: ``` args = [""hide_console"", ] driver = webdriver.Chrome(""path-to-your-driver"", service_args=args, ...) ```","closed","C-py,","mascIT-98","2018-02-07T11:19:13Z","2018-07-22T09:46:29Z"
