QualifiedName,Name,Complexity,Coupling,Size,Lack of Cohesion,CBO,RFC,SRFC,DIT,NOC,WMC,LOC,CMLOC,NOF,NOSF,NOM,NOSM,NORM,LCOM,LCAM,LTCC,ATFD,SI,Coverage,#(C&I),#C,#I,LOC,AC,EC,Abs,Ins,ND,WMC,Coverage,MCC,NBD,LOC,#Pa,#MC,#AF
Signal-Android-1c3052a580f8d40f235f0e3d2da9c4cda2f3860e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<Package>org.signal.signing,org.signal.signing,low,low,low,low,,,,,,0,67,,,,,,,,,,,,,1,1,0,67,0,0,0,1,0,0,,,,,,,
org.signal.signing.ApkSignerUtil,ApkSignerUtil,low,low,low-medium,low,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,,,,,67,,,,,,0,,,,,,,
<Package>org.thoughtcrime.securesms,org.thoughtcrime.securesms,medium-high,low,very-high,low,,,,,,854,11548,,,,,,,,,,,,,215,195,20,11548,0,0,0.121,1,0.121,854,,,,,,,
org.thoughtcrime.securesms.ApplicationContext,ApplicationContext,low-medium,low,low-medium,low,0,19,16,0,0,31,150,113,1,0,19,0,0,0,0,1,0,0,,,,,150,,,,,,31,,,,,,,
<Anonymous> : Lorg.thoughtcrime.securesms.ApplicationContext$10106;,Lorg.thoughtcrime.securesms.ApplicationContext$10106;,low,low,low,low,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,,,,,9,,,,,,0,,,,,,,
<Anonymous> : Lorg.thoughtcrime.securesms.ApplicationContext$9010;,Lorg.thoughtcrime.securesms.ApplicationContext$9010;,low,low,low,low,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,,,,,10,,,,,,0,,,,,,,
<Anonymous> : Lorg.thoughtcrime.securesms.ApplicationContext$9302;,Lorg.thoughtcrime.securesms.ApplicationContext$9302;,low,low,low,low,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,,,,,4,,,,,,0,,,,,,,
<Method>org.thoughtcrime.securesms.ApplicationContext.private executePendingContactSync( ): void,executePendingContactSync( ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,3,0,0,0
<Method>org.thoughtcrime.securesms.ApplicationContext.private initializeCircumvention( ): void,initializeCircumvention( ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,13,0,0,0
<Method>org.thoughtcrime.securesms.ApplicationContext.private initializeCrashHandling( ): void,initializeCrashHandling( ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3,0,0,0
<Method>org.thoughtcrime.securesms.ApplicationContext.private initializeDependencyInjection( ): void,initializeDependencyInjection( ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3,0,0,0
<Method>org.thoughtcrime.securesms.ApplicationContext.private initializeExpiringMessageManager( ): void,initializeExpiringMessageManager( ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,0,0,0
<Method>org.thoughtcrime.securesms.ApplicationContext.private initializeGcmCheck( ): void,initializeGcmCheck( ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,5,0,0,0
<Method>org.thoughtcrime.securesms.ApplicationContext.private initializeJobManager( ): void,initializeJobManager( ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,5,0,0,0
<Method>org.thoughtcrime.securesms.ApplicationContext.private initializeLogging( ): void,initializeLogging( ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,4,0,0,0
<Method>org.thoughtcrime.securesms.ApplicationContext.public initializeMessageRetrieval( ): void,initializeMessageRetrieval( ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,0,0,0
<Method>org.thoughtcrime.securesms.ApplicationContext.private initializePendingMessages( ): void,initializePendingMessages( ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,5,0,0,0
<Method>org.thoughtcrime.securesms.ApplicationContext.private initializePeriodicTasks( ): void,initializePeriodicTasks( ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,7,0,0,0
<Method>org.thoughtcrime.securesms.ApplicationContext.private initializeRandomNumberFix( ): void,initializeRandomNumberFix( ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,0,0,0
<Method>org.thoughtcrime.securesms.ApplicationContext.private initializeSignedPreKeyCheck( ): void,initializeSignedPreKeyCheck( ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,3,0,0,0
<Method>org.thoughtcrime.securesms.ApplicationContext.private initializeTypingStatusRepository( ): void,initializeTypingStatusRepository( ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,0,0,0
<Method>org.thoughtcrime.securesms.ApplicationContext.private initializeTypingStatusSender( ): void,initializeTypingStatusSender( ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,0,0,0
<Method>org.thoughtcrime.securesms.ApplicationContext.private initializeUnidentifiedDeliveryAbilityRefresh( ): void,initializeUnidentifiedDeliveryAbilityRefresh( ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,3,0,0,0
<Method>org.thoughtcrime.securesms.ApplicationContext.private initializeWebRtc( ): void,initializeWebRtc( ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,25,0,0,0
<Method>org.thoughtcrime.securesms.ApplicationContext.public isAppVisible( ): boolean,isAppVisible( ): boolean,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,0,0,1
<Method>org.thoughtcrime.securesms.ApplicationContext.public onCreate( ): void,onCreate( ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,22,0,16,0
<Field>org.thoughtcrime.securesms.ApplicationContext->isAppVisible,volatile isAppVisible : boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
org.thoughtcrime.securesms.ApplicationPreferencesActivity,ApplicationPreferencesActivity,low,low,low-medium,low,0,3,0,0,0,4,177,20,0,0,3,0,0,0,0,0,0,0,,,,,177,,,,,,4,,,,,,,
org.thoughtcrime.securesms.ApplicationPreferencesActivity.ApplicationPreferenceFragment,ApplicationPreferenceFragment,low,low,low,low,0,3,2,0,0,5,122,22,0,0,3,0,0,0,0,0,0,0,,,,,122,,,,,,5,,,,,,,
<Method>org.thoughtcrime.securesms.ApplicationPreferencesActivity.protected onPreCreate( ): void,onPreCreate( ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,4,0,0,0
<Method>org.thoughtcrime.securesms.ApplicationPreferencesActivity.public onResume( ): void,onResume( ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,5,0,0,0
<Method>org.thoughtcrime.securesms.ApplicationPreferencesActivity.public onSupportNavigateUp( ): boolean,onSupportNavigateUp( ): boolean,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,11,0,0,0
org.thoughtcrime.securesms.BaseActionBarActivity,BaseActionBarActivity,low,low,low,low,0,4,1,0,0,10,45,25,0,0,4,0,0,0,0.375,0,0,0,,,,,45,,,,,,10,,,,,,,
<Method>org.thoughtcrime.securesms.BaseActionBarActivity.private forceOverflowMenu( ): void,forceOverflowMenu( ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,11,0,0,0
