QualifiedName,Name,Complexity,Coupling,Size,Lack of Cohesion,CBO,RFC,SRFC,DIT,NOC,WMC,LOC,CMLOC,NOF,NOSF,NOM,NOSM,NORM,LCOM,LCAM,LTCC,ATFD,SI,Coverage,#(C&I),#C,#I,LOC,AC,EC,Abs,Ins,ND,WMC,Coverage,MCC,NBD,LOC,#Pa,#MC,#AF
checkstyle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<Package>com.puppycrawl.tools.checkstyle,com.puppycrawl.tools.checkstyle,low-medium,medium-high,medium-high,low,,,,,,326,1351,,,,,,,,,,,,,20,17,3,1351,3,13,0.15,0.813,0.037,326,,,,,,,
com.puppycrawl.tools.checkstyle.AuditEventDefaultFormatter,AuditEventDefaultFormatter,low,low,low,low,2,36,19,1,0,8,43,40,0,2,1,2,0,1,0.222,0,1,0,,,,,43,,,,,,8,,,,,,,
<Method>com.puppycrawl.tools.checkstyle.AuditEventDefaultFormatter.public format( AuditEvent ): String,format( AuditEvent ): String,low,low,low,low,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,20,1,25,0
"<Method>com.puppycrawl.tools.checkstyle.AuditEventDefaultFormatter.private static calculateBufferLength( AuditEvent, int ): int","static calculateBufferLength( AuditEvent, int ): int",low,low,low,low,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,4,2,6,1
<Method>com.puppycrawl.tools.checkstyle.AuditEventDefaultFormatter.private static getCheckShortName( AuditEvent ): String,static getCheckShortName( AuditEvent ): String,low,low,low,low,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,16,1,12,4
<Field>com.puppycrawl.tools.checkstyle.AuditEventDefaultFormatter->LENGTH_OF_ALL_SEPARATORS,static final LENGTH_OF_ALL_SEPARATORS : int,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<Field>com.puppycrawl.tools.checkstyle.AuditEventDefaultFormatter->SUFFIX,static final SUFFIX : String,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
com.puppycrawl.tools.checkstyle.AuditEventFormatter,AuditEventFormatter,low,low,low,low,1,1,0,1,1,1,2,1,0,0,1,0,0,0,0,0,0,0,,,,,2,,,,,,1,,,,,,,
<Method>com.puppycrawl.tools.checkstyle.AuditEventFormatter.public abstract format( AuditEvent ): String,format( AuditEvent ): String,low,low,low,low,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0,0
com.puppycrawl.tools.checkstyle.Checker,Checker,medium-high,medium-high,low-medium,high,20,108,50,2,0,51,177,159,14,1,25,0,2,0.922,0.816,0.823,1,0.16,,,,,177,,,,,,51,,,,,,,
