QualifiedName,Name,Complexity,Coupling,Size,Lack of Cohesion,CBO,RFC,SRFC,DIT,NOC,WMC,LOC,CMLOC,NOF,NOSF,NOM,NOSM,NORM,LCOM,LCAM,LTCC,ATFD,SI,Coverage,#(C&I),#C,#I,LOC,AC,EC,Abs,Ins,ND,WMC,Coverage,MCC,NBD,LOC,#Pa,#MC,#AF
selenium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<Package>com.thoughtworks.selenium,com.thoughtworks.selenium,low-medium,low,medium-high,low,,,,,,266,1491,,,,,,,,,,,,,15,12,3,1491,14,0,0.267,0,0.733,266,,,,,,,
com.thoughtworks.selenium.BrowserConfigurationOptions,BrowserConfigurationOptions,low,low,low-medium,low,0,8,0,0,0,9,84,24,0,1,8,0,0,0,0.437,1,0,0,,,,,84,,,,,,9,,,,,,,
<Method>com.thoughtworks.selenium.BrowserConfigurationOptions.public BrowserConfigurationOptions( ): void,BrowserConfigurationOptions( ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0
<Method>com.thoughtworks.selenium.BrowserConfigurationOptions.protected getTimeoutInSeconds( ): int,getTimeoutInSeconds( ): int,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,4,0,0,1
<Method>com.thoughtworks.selenium.BrowserConfigurationOptions.public hasOptions( ): boolean,hasOptions( ): boolean,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,0,0,0
<Method>com.thoughtworks.selenium.BrowserConfigurationOptions.protected isMultiWindow( ): boolean,isMultiWindow( ): boolean,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,0,0,0
<Method>com.thoughtworks.selenium.BrowserConfigurationOptions.protected isSingleWindow( ): boolean,isSingleWindow( ): boolean,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,0,0,0
<Method>com.thoughtworks.selenium.BrowserConfigurationOptions.public setMultiWindow( ): BrowserConfigurationOptions,setMultiWindow( ): BrowserConfigurationOptions,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,5,0,0,0
<Method>com.thoughtworks.selenium.BrowserConfigurationOptions.public setSingleWindow( ): BrowserConfigurationOptions,setSingleWindow( ): BrowserConfigurationOptions,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,5,0,0,0
<Method>com.thoughtworks.selenium.BrowserConfigurationOptions.public setTimeoutInSeconds( int ): BrowserConfigurationOptions,setTimeoutInSeconds( int ): BrowserConfigurationOptions,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3,1,0,0
<Field>com.thoughtworks.selenium.BrowserConfigurationOptions->DEFAULT_TIMEOUT_IN_SECONDS,static final DEFAULT_TIMEOUT_IN_SECONDS : int,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
com.thoughtworks.selenium.CommandProcessor,CommandProcessor,low,low,low,low,0,2,0,1,2,13,15,2,0,0,2,0,0,0,0,0,0,0,,,,,15,,,,,,13,,,,,,,
<Method>com.thoughtworks.selenium.CommandProcessor.public abstract start( ): void,start( ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0
<Method>com.thoughtworks.selenium.CommandProcessor.public abstract stop( ): void,stop( ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0
com.thoughtworks.selenium.DefaultRemoteCommand,DefaultRemoteCommand,low,low,low,low,0,0,0,0,0,0,33,0,0,4,0,0,0,0,0,0,0,0,,,,,33,,,,,,0,,,,,,,
<Field>com.thoughtworks.selenium.DefaultRemoteCommand->FIRSTINDEX,static final FIRSTINDEX : int,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<Field>com.thoughtworks.selenium.DefaultRemoteCommand->NUMARGSINCLUDINGBOUNDARIES,static final NUMARGSINCLUDINGBOUNDARIES : int,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<Field>com.thoughtworks.selenium.DefaultRemoteCommand->SECONDINDEX,static final SECONDINDEX : int,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<Field>com.thoughtworks.selenium.DefaultRemoteCommand->THIRDINDEX,static final THIRDINDEX : int,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
com.thoughtworks.selenium.DefaultSelenium,DefaultSelenium,low-medium,low,medium-high,low,1,27,2,0,1,32,532,96,1,0,25,0,0,0,0.48,0.08,0,0,,,,,532,,,,,,32,,,,,,,
<Method>com.thoughtworks.selenium.DefaultSelenium.public DefaultSelenium( CommandProcessor ): void,DefaultSelenium( CommandProcessor ): void,low,low,low,low,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,1,0,1
<Method>com.thoughtworks.selenium.DefaultSelenium.public altKeyDown( ): void,altKeyDown( ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3,0,0,1
<Method>com.thoughtworks.selenium.DefaultSelenium.public altKeyUp( ): void,altKeyUp( ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3,0,0,1
<Method>com.thoughtworks.selenium.DefaultSelenium.public chooseCancelOnNextConfirmation( ): void,chooseCancelOnNextConfirmation( ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3,0,0,1
<Method>com.thoughtworks.selenium.DefaultSelenium.public chooseOkOnNextConfirmation( ): void,chooseOkOnNextConfirmation( ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3,0,0,1
<Method>com.thoughtworks.selenium.DefaultSelenium.public close( ): void,close( ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3,0,0,1
<Method>com.thoughtworks.selenium.DefaultSelenium.public controlKeyDown( ): void,controlKeyDown( ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3,0,0,1
<Method>com.thoughtworks.selenium.DefaultSelenium.public controlKeyUp( ): void,controlKeyUp( ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3,0,0,1
<Method>com.thoughtworks.selenium.DefaultSelenium.public deleteAllVisibleCookies( ): void,deleteAllVisibleCookies( ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3,0,0,1
<Method>com.thoughtworks.selenium.DefaultSelenium.public deselectPopUp( ): void,deselectPopUp( ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3,0,0,1
