QualifiedName,Name,Complexity,Coupling,Size,Lack of Cohesion,CBO,RFC,SRFC,DIT,NOC,WMC,LOC,CMLOC,NOF,NOSF,NOM,NOSM,NORM,LCOM,LCAM,LTCC,ATFD,SI,Coverage,#(C&I),#C,#I,LOC,AC,EC,Abs,Ins,ND,WMC,Coverage,MCC,NBD,LOC,#Pa,#MC,#AF
skywalking-c1a90c9b7f26cce27e6fa13ecf055dd78eff1163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<Package>com.ai.cloud.config,com.ai.cloud.config,low,low,low,low,,,,,,2,59,,,,,,,,,,,,,3,3,0,59,0,0,0,1,0,2,,,,,,,
com.ai.cloud.config.ConfigDesc,ConfigDesc,low,low,low,low,0,1,0,0,0,1,18,2,0,0,1,0,0,0,0,0,0,0,,,,,18,,,,,,1,,,,,,,
<Method>com.ai.cloud.config.ConfigDesc. removeLastDesc( ): void, removeLastDesc( ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,0,0,0
com.ai.cloud.config.ConfigInitializer,ConfigInitializer,low,low,low,low,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,,,,,22,,,,,,0,,,,,,,
com.ai.cloud.config.InitialConfigFilter,InitialConfigFilter,low,low,low,low,0,1,0,0,0,1,19,2,0,0,1,0,0,0,0,0,0,0,,,,,19,,,,,,1,,,,,,,
<Method>com.ai.cloud.config.InitialConfigFilter.public destroy( ): void,destroy( ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,0,0,0
<Package>com.ai.cloud.controller,com.ai.cloud.controller,low,low,low-medium,low,,,,,,0,477,,,,,,,,,,,,,6,6,0,477,0,0,0,1,0,0,,,,,,,
com.ai.cloud.controller.AlarmRuleCtl,AlarmRuleCtl,low,low,low-medium,low,0,0,0,0,0,0,220,0,0,0,0,0,0,0,0,0,0,0,,,,,220,,,,,,0,,,,,,,
com.ai.cloud.controller.AlarmRuleMaintainCtl,AlarmRuleMaintainCtl,low,low,low,low,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,,,,,26,,,,,,0,,,,,,,
